Date,Open,High,Low,Close,Volume,Adj Close
2014-09-03,1.19,1.20,1.03,1.19,17266500,1.19
2014-09-02,1.60,1.69,1.21,1.25,24838300,1.25
2014-08-29,1.47,1.77,1.45,1.60,40273400,1.60
2014-08-28,1.07,1.60,0.99,1.43,50413200,1.43
2014-08-27,0.94,1.09,0.91,1.09,21296100,1.09
2014-08-26,0.73,0.89,0.67,0.86,10674800,0.86
2014-08-25,0.70,0.75,0.69,0.72,2942500,0.72
2014-08-22,0.68,0.70,0.67,0.68,2486600,0.68
2014-08-21,0.63,0.67,0.63,0.67,2979400,0.67
2014-08-20,0.65,0.65,0.61,0.62,1265400,0.62
2014-08-19,0.67,0.68,0.60,0.63,2038000,0.63
2014-08-18,0.60,0.67,0.57,0.67,3141000,0.67
2014-08-15,0.58,0.58,0.56,0.58,1091300,0.58
2014-08-14,0.58,0.58,0.56,0.58,833600,0.58
2014-08-13,0.57,0.59,0.55,0.57,1734300,0.57
2014-08-12,0.64,0.66,0.57,0.57,2901700,0.57
2014-08-11,0.67,0.68,0.63,0.64,1726300,0.64
2014-08-08,0.67,0.68,0.63,0.63,873800,0.63
2014-08-07,0.65,0.68,0.63,0.66,1246300,0.66
2014-08-06,0.67,0.70,0.62,0.64,1956500,0.64
2014-08-05,0.58,0.75,0.56,0.65,6827000,0.65
2014-08-04,0.58,0.61,0.55,0.55,2362300,0.55
2014-08-01,0.63,0.65,0.58,0.58,2906400,0.58
2014-07-31,0.66,0.67,0.62,0.62,3515400,0.62
2014-07-30,0.70,0.70,0.64,0.65,3220400,0.65
2014-07-29,0.78,0.79,0.68,0.68,3786300,0.68
2014-07-28,0.82,0.82,0.77,0.77,1697800,0.77
2014-07-25,0.83,0.83,0.80,0.80,1323900,0.80
2014-07-24,0.81,0.83,0.81,0.83,712400,0.83
2014-07-23,0.83,0.83,0.80,0.83,1865600,0.83
2014-07-22,0.85,0.85,0.81,0.81,1008300,0.81
2014-07-21,0.85,0.86,0.82,0.83,926800,0.83
2014-07-18,0.85,0.87,0.84,0.84,941400,0.84
2014-07-17,0.83,0.86,0.82,0.82,2356100,0.82
2014-07-16,0.82,0.84,0.80,0.81,1532300,0.81
2014-07-15,0.83,0.84,0.82,0.82,1097300,0.82
2014-07-14,0.86,0.87,0.82,0.83,1712800,0.83
2014-07-11,0.87,0.87,0.85,0.85,922700,0.85
2014-07-10,0.90,0.90,0.84,0.86,1462300,0.86
2014-07-09,0.87,0.90,0.85,0.89,1382100,0.89
2014-07-08,0.90,0.91,0.85,0.85,2048700,0.85
2014-07-07,0.96,0.96,0.89,0.89,2622500,0.89
2014-07-03,0.96,0.98,0.95,0.96,766200,0.96
2014-07-02,0.97,1.00,0.95,0.96,1839700,0.96
2014-07-01,1.01,1.03,0.95,0.96,2476800,0.96
2014-06-30,1.02,1.03,0.96,0.99,2784300,0.99
2014-06-27,0.96,1.05,0.95,0.97,14927100,0.97
2014-06-26,0.94,0.95,0.89,0.94,1820400,0.94
2014-06-25,0.85,0.92,0.84,0.91,2619900,0.91
2014-06-24,0.81,0.88,0.81,0.85,3364800,0.85
2014-06-23,0.90,0.92,0.81,0.83,7992700,0.83
2014-06-20,1.02,1.03,0.91,0.92,13017300,0.92
2014-06-19,1.10,1.11,1.02,1.03,5697500,1.03
2014-06-18,1.10,1.10,1.08,1.10,2463900,1.10
2014-06-17,1.12,1.13,1.08,1.10,2975500,1.10
2014-06-16,1.15,1.16,1.12,1.12,3028600,1.12
2014-06-13,1.15,1.19,1.15,1.16,2040900,1.16
2014-06-12,1.28,1.28,1.15,1.15,8732100,1.15
2014-06-11,1.35,1.43,1.26,1.28,4226200,1.28
2014-06-10,1.38,1.49,1.32,1.38,5418100,1.38
2014-06-09,1.50,1.54,1.45,1.54,1955300,1.54
2014-06-06,1.53,1.54,1.44,1.47,1449000,1.47
2014-06-05,1.53,1.55,1.50,1.51,1022900,1.51
2014-06-04,1.37,1.59,1.36,1.51,2451300,1.51
2014-06-03,1.44,1.44,1.31,1.39,2057200,1.39
2014-06-02,1.50,1.54,1.39,1.43,3510200,1.43
2014-05-30,1.46,1.68,1.46,1.50,6860000,1.50
2014-05-29,1.30,1.75,1.29,1.45,13081900,1.45
2014-05-28,1.32,1.35,1.31,1.32,1746000,1.32
2014-05-27,1.23,1.40,1.22,1.30,4012200,1.30
2014-05-23,1.18,1.25,1.15,1.21,3262200,1.21
2014-05-22,1.23,1.26,1.15,1.16,3384300,1.16
2014-05-21,1.19,1.25,1.18,1.23,3189800,1.23
2014-05-20,1.13,1.26,1.12,1.22,3099500,1.22
2014-05-19,1.21,1.22,1.16,1.17,1778900,1.17
2014-05-16,1.33,1.35,1.13,1.22,8539700,1.22
2014-05-15,1.34,1.36,1.31,1.33,2667100,1.33
2014-05-14,1.38,1.40,1.33,1.34,1542600,1.34
2014-05-13,1.40,1.41,1.38,1.39,1314500,1.39
2014-05-12,1.38,1.39,1.35,1.39,1718800,1.39
2014-05-09,1.47,1.49,1.32,1.33,4281300,1.33
2014-05-08,1.41,1.48,1.40,1.47,3194200,1.47
2014-05-07,1.40,1.43,1.38,1.41,1493500,1.41
2014-05-06,1.31,1.44,1.31,1.37,3442100,1.37
2014-05-05,1.37,1.37,1.31,1.31,1972700,1.31
2014-05-02,1.37,1.38,1.32,1.35,2129400,1.35
2014-05-01,1.46,1.47,1.35,1.35,2453500,1.35
2014-04-30,1.46,1.47,1.41,1.43,1903800,1.43
2014-04-29,1.45,1.47,1.43,1.44,2834400,1.44
2014-04-28,1.48,1.49,1.44,1.45,5678700,1.45
2014-04-25,1.39,1.50,1.39,1.47,5073700,1.47
2014-04-24,1.33,1.37,1.30,1.36,3597500,1.36
2014-04-23,1.42,1.42,1.30,1.31,2561200,1.31
2014-04-22,1.46,1.49,1.30,1.34,5354600,1.34
2014-04-21,1.44,1.52,1.41,1.45,5015100,1.45
2014-04-17,1.68,1.70,1.28,1.41,17016800,1.41
2014-04-16,1.82,1.82,1.67,1.69,3803500,1.69
2014-04-15,1.97,2.00,1.77,1.79,5186500,1.79
2014-04-14,2.15,2.21,1.92,1.98,2914200,1.98
2014-04-11,2.12,2.12,2.02,2.03,3976200,2.03
2014-04-10,2.16,2.17,2.11,2.12,1737400,2.12
2014-04-09,2.17,2.20,2.14,2.17,783300,2.17
2014-04-08,2.15,2.19,2.13,2.18,1236100,2.18
2014-04-07,2.14,2.20,2.14,2.16,1322500,2.16
2014-04-04,2.23,2.25,2.17,2.18,978100,2.18
2014-04-03,2.22,2.27,2.18,2.20,2406500,2.20
2014-04-02,2.12,2.23,2.12,2.22,2004400,2.22
2014-04-01,2.13,2.16,2.11,2.13,1654800,2.13
2014-03-31,2.14,2.17,2.11,2.12,1228000,2.12
2014-03-28,2.14,2.21,2.13,2.14,1122900,2.14
2014-03-27,2.15,2.19,2.13,2.14,966300,2.14
2014-03-26,2.26,2.26,2.13,2.14,3790500,2.14
2014-03-25,2.22,2.27,2.22,2.26,2574200,2.26
2014-03-24,2.22,2.26,2.21,2.26,1614200,2.26
2014-03-21,2.25,2.26,2.16,2.26,3379200,2.26
2014-03-20,2.15,2.22,2.15,2.22,2203800,2.22
2014-03-19,2.25,2.26,2.16,2.17,1860600,2.17
2014-03-18,2.28,2.28,2.21,2.26,2276800,2.26
2014-03-17,2.27,2.29,2.23,2.28,3020900,2.28
2014-03-14,2.25,2.29,2.15,2.24,3378100,2.24
2014-03-13,2.27,2.27,2.18,2.22,4374300,2.22
2014-03-12,2.15,2.18,2.12,2.16,2177700,2.16
2014-03-11,2.12,2.18,2.10,2.17,3370300,2.17
2014-03-10,2.21,2.23,2.07,2.14,2583900,2.14
2014-03-07,2.08,2.18,2.05,2.15,4164700,2.15
2014-03-06,2.20,2.20,2.00,2.04,10831800,2.04
2014-03-05,2.32,2.33,2.15,2.16,10915100,2.16
2014-03-04,2.27,2.44,2.19,2.25,20382700,2.25
2014-03-03,2.65,2.79,2.65,2.72,5089600,2.72
2014-02-28,2.74,2.75,2.56,2.68,2644400,2.68
2014-02-27,2.51,2.66,2.49,2.66,2979000,2.66
2014-02-26,2.45,2.55,2.44,2.51,1959500,2.51
2014-02-25,2.48,2.50,2.36,2.44,1819100,2.44
2014-02-24,2.55,2.58,2.43,2.49,1653100,2.49
2014-02-21,2.57,2.63,2.50,2.53,1388800,2.53
2014-02-20,2.52,2.60,2.50,2.59,1583100,2.59
2014-02-19,2.58,2.58,2.51,2.53,1468200,2.53
2014-02-18,2.65,2.71,2.57,2.58,2051600,2.58
2014-02-14,2.68,2.69,2.61,2.64,835200,2.64
2014-02-13,2.60,2.69,2.52,2.66,2062300,2.66
2014-02-12,2.70,2.79,2.56,2.62,3018500,2.62
2014-02-11,2.49,2.67,2.49,2.67,3133400,2.67
2014-02-10,2.48,2.55,2.43,2.49,3030200,2.49
2014-02-07,2.23,2.43,2.23,2.42,2572300,2.42
2014-02-06,2.23,2.33,2.19,2.22,2603000,2.22
2014-02-05,2.41,2.43,2.20,2.22,4253100,2.22
2014-02-04,2.54,2.55,2.19,2.36,4722300,2.36
2014-02-03,2.59,2.68,2.40,2.48,5277800,2.48
2014-01-31,2.40,2.49,2.40,2.40,2295400,2.40
2014-01-30,2.42,2.51,2.40,2.42,1621700,2.42
2014-01-29,2.46,2.47,2.35,2.41,1377100,2.41
2014-01-28,2.50,2.50,2.39,2.40,2342500,2.40
2014-01-27,2.37,2.46,2.25,2.44,2069200,2.44
2014-01-24,2.49,2.59,2.33,2.39,2989600,2.39
2014-01-23,2.55,2.62,2.44,2.50,4130600,2.50
2014-01-22,2.23,2.62,2.21,2.54,9975000,2.54
2014-01-21,2.09,2.16,2.06,2.16,3380700,2.16
2014-01-17,2.08,2.09,2.02,2.04,2556400,2.04
2014-01-16,2.13,2.13,2.04,2.04,3361500,2.04
2014-01-15,2.10,2.17,2.07,2.15,3105800,2.15
2014-01-14,2.20,2.20,2.09,2.09,3562400,2.09
2014-01-13,2.20,2.24,2.02,2.18,4807100,2.18
2014-01-10,2.27,2.30,2.12,2.12,3855000,2.12
2014-01-09,2.31,2.34,2.14,2.27,4416800,2.27
2014-01-08,2.39,2.44,2.29,2.31,3113600,2.31
2014-01-07,2.57,2.58,2.25,2.41,5477300,2.41
2014-01-06,2.66,2.69,2.55,2.57,2389400,2.57
2014-01-03,2.65,2.70,2.64,2.65,1387400,2.65
2014-01-02,2.64,2.74,2.63,2.64,2075100,2.64
2013-12-31,2.65,2.74,2.60,2.60,2362400,2.60
2013-12-30,2.66,2.71,2.65,2.67,1960800,2.67
2013-12-27,2.60,2.71,2.60,2.67,1482900,2.67
2013-12-26,2.68,2.70,2.61,2.61,1304500,2.61
2013-12-24,2.69,2.76,2.66,2.67,805000,2.67
2013-12-23,2.62,2.73,2.61,2.68,1289500,2.68
2013-12-20,2.64,2.70,2.62,2.62,1955400,2.62
2013-12-19,2.68,2.70,2.64,2.65,989900,2.65
2013-12-18,2.65,2.69,2.62,2.68,1855100,2.68
2013-12-17,2.65,2.69,2.64,2.64,1336700,2.64
2013-12-16,2.69,2.70,2.65,2.66,1821600,2.66
2013-12-13,2.67,2.70,2.66,2.68,1555300,2.68
2013-12-12,2.74,2.74,2.66,2.68,2345300,2.68
2013-12-11,2.88,2.88,2.73,2.73,3642000,2.73
2013-12-10,2.90,2.92,2.84,2.87,1542500,2.87
2013-12-09,2.92,2.93,2.87,2.90,1686600,2.90
2013-12-06,2.94,2.96,2.89,2.91,1474000,2.91
2013-12-05,2.96,2.99,2.87,2.93,1425700,2.93
2013-12-04,2.91,2.98,2.88,2.96,1678400,2.96
2013-12-03,2.84,2.93,2.84,2.91,970600,2.91
2013-12-02,2.90,2.95,2.81,2.84,1512900,2.84
