Date,Open,High,Low,Close,Volume,Adj Close
2014-08-19,5.58,5.65,5.48,5.65,15000,5.65
2014-08-18,5.50,5.65,5.44,5.47,27000,5.47
2014-08-15,5.67,5.67,5.33,5.61,9600,5.61
2014-08-14,5.45,5.69,5.45,5.67,24500,5.67
2014-08-13,6.10,6.10,5.43,5.47,41800,5.47
2014-08-12,6.15,6.17,5.92,6.07,2600,6.07
2014-08-11,6.01,6.06,5.70,6.04,25400,6.04
2014-08-08,6.14,6.15,5.92,6.13,3500,6.13
2014-08-07,5.89,6.05,5.84,6.04,10100,6.04
2014-08-06,5.97,6.04,5.84,5.99,15700,5.99
2014-08-05,6.10,6.10,5.80,5.89,12500,5.89
2014-08-04,5.90,6.18,5.89,6.05,10700,6.05
2014-08-01,5.67,6.15,5.65,6.01,36600,6.01
2014-07-31,5.82,5.85,5.65,5.74,16900,5.74
2014-07-30,5.73,5.93,5.73,5.90,10900,5.90
2014-07-29,5.86,5.86,5.59,5.81,9100,5.81
2014-07-28,5.71,5.92,5.71,5.84,6600,5.84
2014-07-25,5.85,5.90,5.78,5.78,4500,5.78
2014-07-24,5.93,6.08,5.82,5.95,12400,5.95
2014-07-23,5.95,5.99,5.92,5.94,3400,5.94
2014-07-22,5.92,5.98,5.77,5.91,15500,5.91
2014-07-21,5.89,6.00,5.85,5.99,4400,5.99
2014-07-18,5.85,5.97,5.84,5.97,4900,5.97
2014-07-17,5.90,6.01,5.68,5.82,16500,5.82
2014-07-16,5.80,5.98,5.77,5.97,7500,5.97
2014-07-15,5.85,5.98,5.69,5.90,12700,5.90
2014-07-14,5.70,5.90,5.68,5.90,7100,5.90
2014-07-11,5.56,5.84,5.36,5.78,25900,5.78
2014-07-10,5.76,5.85,5.63,5.75,12400,5.75
2014-07-09,5.88,5.88,5.62,5.87,8200,5.87
2014-07-08,5.57,5.81,5.57,5.78,25700,5.78
2014-07-07,5.84,5.84,5.57,5.63,22200,5.63
2014-07-03,5.79,5.80,5.63,5.80,22300,5.80
2014-07-02,5.85,5.85,5.68,5.80,20800,5.80
2014-07-01,5.84,5.99,5.64,5.88,17900,5.88
2014-06-30,6.08,6.08,5.88,5.88,7700,5.88
2014-06-27,5.61,6.09,5.59,5.98,30000,5.98
2014-06-26,5.96,6.03,5.70,5.72,10600,5.72
2014-06-25,5.89,6.02,5.84,5.97,12900,5.97
2014-06-24,5.92,6.04,5.89,6.02,93900,6.02
2014-06-23,6.09,6.09,5.86,6.02,15100,6.02
2014-06-20,6.08,6.08,6.00,6.03,5300,6.03
2014-06-19,6.14,6.15,5.92,6.01,13200,6.01
2014-06-18,6.10,6.15,6.01,6.15,3400,6.15
2014-06-17,6.10,6.22,6.10,6.22,10800,6.22
2014-06-16,6.10,6.19,6.00,6.19,7600,6.19
2014-06-13,6.07,6.19,6.00,6.19,7900,6.19
2014-06-12,6.04,6.11,6.01,6.10,9300,6.10
2014-06-11,6.01,6.11,5.97,6.10,9700,6.10
2014-06-10,6.07,6.08,6.00,6.04,6500,6.04
2014-06-09,6.02,6.10,5.98,6.07,7900,6.07
2014-06-06,5.91,6.07,5.90,5.98,7100,5.98
2014-06-05,6.04,6.08,5.92,5.96,8600,5.96
2014-06-04,5.95,6.17,5.90,6.11,12300,6.11
2014-06-03,6.00,6.45,5.90,6.08,42900,6.08
2014-06-02,6.04,6.14,5.96,6.09,8100,6.09
2014-05-30,5.96,6.16,5.80,5.95,8200,5.95
2014-05-29,6.02,6.12,5.81,5.98,9800,5.98
2014-05-28,5.97,5.99,5.90,5.95,2100,5.95
2014-05-27,6.12,6.23,5.85,5.95,60500,5.95
2014-05-23,6.37,6.46,6.22,6.29,8900,6.29
2014-05-22,6.42,6.50,6.29,6.48,7100,6.48
2014-05-21,6.35,6.50,6.34,6.49,5900,6.49
2014-05-20,6.26,6.49,6.26,6.46,6100,6.46
2014-05-19,6.10,6.45,6.10,6.30,7000,6.30
2014-05-16,6.12,6.20,5.89,6.20,9400,6.20
2014-05-15,6.10,6.14,5.94,6.05,3200,6.05
2014-05-14,6.06,6.49,5.80,5.95,86700,5.95
2014-05-13,6.06,6.40,6.06,6.16,7600,6.16
2014-05-12,6.16,6.35,6.12,6.24,14000,6.24
2014-05-09,6.33,6.45,5.79,6.26,70500,6.26
2014-05-08,5.86,6.41,5.86,6.21,25700,6.21
2014-05-07,6.00,6.15,5.68,5.96,14300,5.96
2014-05-06,6.05,6.15,5.83,6.14,13600,6.14
2014-05-05,5.81,6.20,5.81,6.20,10700,6.20
2014-05-02,5.99,6.06,5.79,5.94,12000,5.94
2014-05-01,5.69,6.06,5.69,5.99,20800,5.99
2014-04-30,5.47,5.84,5.29,5.82,33400,5.82
2014-04-29,5.30,5.67,5.07,5.55,39500,5.55
2014-04-28,5.36,5.49,5.18,5.39,40800,5.39
2014-04-25,5.61,5.61,5.19,5.49,35100,5.49
2014-04-24,5.70,5.75,5.49,5.64,31600,5.64
2014-04-23,5.80,5.90,5.57,5.81,40300,5.81
2014-04-22,6.06,6.27,5.83,5.90,27200,5.90
2014-04-21,6.12,6.20,5.65,6.20,31800,6.20
2014-04-17,6.16,6.36,6.16,6.20,6900,6.20
2014-04-16,6.36,6.57,6.20,6.20,10800,6.20
2014-04-15,6.59,6.70,6.06,6.37,22000,6.37
2014-04-14,6.51,6.65,6.40,6.60,9500,6.60
2014-04-11,6.54,6.54,6.26,6.50,9600,6.50
2014-04-10,6.59,6.69,6.27,6.65,12600,6.65
2014-04-09,6.50,6.54,6.35,6.54,9300,6.54
2014-04-08,6.40,6.52,6.25,6.43,27100,6.43
2014-04-07,7.08,7.21,6.52,6.55,69400,6.55
2014-04-04,7.26,7.28,7.01,7.18,41300,7.18
2014-04-03,7.49,7.49,7.18,7.25,20100,7.25
2014-04-02,7.46,7.49,7.21,7.43,26000,7.43
2014-04-01,7.42,7.50,7.12,7.46,17600,7.46
2014-03-31,7.30,7.50,7.01,7.50,39500,7.50
2014-03-28,7.01,7.13,6.89,7.10,10800,7.10
2014-03-27,6.89,7.05,6.81,7.02,4600,7.02
2014-03-26,6.91,7.05,6.79,6.80,32900,6.80
2014-03-25,6.85,6.98,6.76,6.95,15500,6.95
2014-03-24,7.00,7.10,6.78,6.88,32800,6.88
2014-03-21,6.68,7.00,6.68,7.00,129300,7.00
2014-03-20,6.62,6.75,6.53,6.75,13100,6.75
2014-03-19,6.73,6.75,6.57,6.66,15600,6.66
2014-03-18,6.71,6.75,6.53,6.70,18700,6.70
2014-03-17,6.58,6.79,6.58,6.76,49200,6.76
2014-03-14,6.66,6.75,6.41,6.58,30100,6.58
2014-03-13,6.74,6.75,6.43,6.74,21600,6.74
2014-03-12,6.64,6.79,6.41,6.71,37100,6.71
2014-03-11,6.73,6.89,6.63,6.63,24100,6.63
2014-03-10,6.70,6.80,6.58,6.66,28300,6.66
2014-03-07,6.39,6.67,6.34,6.59,40500,6.59
2014-03-06,6.26,6.40,6.18,6.39,19600,6.39
2014-03-05,6.26,6.29,6.20,6.26,8500,6.26
2014-03-04,6.21,6.28,6.15,6.27,10900,6.27
2014-03-03,6.17,6.17,6.00,6.14,38900,6.14
2014-02-28,6.23,6.32,6.11,6.18,22900,6.18
2014-02-27,6.30,6.38,6.08,6.24,30300,6.24
2014-02-26,6.38,6.41,6.20,6.36,22400,6.36
2014-02-25,6.40,6.44,6.19,6.32,22000,6.32
2014-02-24,6.31,6.46,6.19,6.40,28300,6.40
2014-02-21,6.20,6.46,6.17,6.30,16500,6.30
2014-02-20,6.49,6.49,6.20,6.22,37300,6.22
2014-02-19,6.63,6.64,6.18,6.39,39300,6.39
2014-02-18,6.91,6.91,6.45,6.72,51100,6.72
2014-02-14,6.73,6.95,6.62,6.95,21600,6.95
2014-02-13,6.68,6.84,6.60,6.83,34900,6.83
2014-02-12,6.76,6.90,6.61,6.80,20800,6.80
2014-02-11,6.40,6.80,6.16,6.75,56600,6.75
2014-02-10,6.42,6.49,6.09,6.09,35000,6.09
2014-02-07,6.42,6.51,6.11,6.49,43900,6.49
2014-02-06,6.60,6.70,6.28,6.44,33500,6.44
2014-02-05,6.52,6.62,6.43,6.61,30100,6.61
2014-02-04,6.30,6.69,6.23,6.63,29200,6.63
2014-02-03,6.60,6.73,6.20,6.38,52500,6.38
2014-01-31,6.75,6.97,6.43,6.89,23200,6.89
2014-01-30,6.70,6.81,6.60,6.81,22800,6.81
2014-01-29,6.52,6.70,6.09,6.70,53300,6.70
2014-01-28,6.42,6.73,6.39,6.67,51900,6.67
2014-01-27,6.89,6.89,6.16,6.42,200300,6.42
2014-01-24,7.29,7.39,6.67,7.07,88000,7.07
2014-01-23,7.47,7.54,7.25,7.42,49300,7.42
2014-01-22,7.73,7.75,7.32,7.54,71000,7.54
2014-01-21,7.27,7.65,7.15,7.63,144500,7.63
2014-01-17,7.10,7.15,6.97,7.10,31800,7.10
2014-01-16,6.89,7.07,6.75,7.06,51300,7.06
2014-01-15,6.47,6.97,6.47,6.91,102400,6.91
2014-01-14,6.59,6.98,6.31,6.53,152100,6.53
2014-01-13,6.69,7.17,6.45,6.63,191500,6.63
2014-01-10,6.49,6.49,6.08,6.40,95200,6.40
2014-01-09,6.63,6.79,6.32,6.50,176200,6.50
2014-01-08,6.30,6.67,6.18,6.63,205000,6.63
2014-01-07,6.13,6.55,6.12,6.28,123500,6.28
2014-01-06,5.55,6.25,5.49,6.07,117700,6.07
2014-01-03,5.16,5.60,5.08,5.49,152300,5.49
2014-01-02,4.84,5.47,4.83,5.08,411700,5.08
2013-12-31,4.82,4.90,4.78,4.90,15600,4.90
2013-12-30,4.84,4.90,4.80,4.85,25400,4.85
2013-12-27,4.85,4.90,4.80,4.90,28100,4.90
2013-12-26,4.85,4.90,4.72,4.89,42600,4.89
2013-12-24,4.86,4.87,4.76,4.85,8600,4.85
2013-12-23,4.84,4.85,4.71,4.84,29400,4.84
2013-12-20,4.66,4.79,4.66,4.79,28800,4.79
2013-12-19,4.78,4.82,4.61,4.70,16300,4.70
2013-12-18,4.48,4.86,4.48,4.86,38400,4.86
2013-12-17,4.58,4.58,4.41,4.52,19400,4.52
2013-12-16,4.59,4.68,4.50,4.63,14400,4.63
2013-12-13,4.57,4.73,4.51,4.60,23900,4.60
2013-12-12,4.55,4.70,4.46,4.66,38500,4.66
2013-12-11,4.47,4.60,4.45,4.59,20700,4.59
2013-12-10,4.49,4.62,4.49,4.54,4000,4.54
2013-12-09,4.52,4.55,4.50,4.53,17600,4.53
2013-12-06,4.45,4.50,4.41,4.49,17100,4.49
2013-12-05,4.48,4.52,4.40,4.46,16900,4.46
2013-12-04,4.41,4.45,4.40,4.41,9300,4.41
2013-12-03,4.45,4.49,4.42,4.44,3900,4.44
2013-12-02,4.43,4.51,4.40,4.50,8800,4.50
