Date,Open,High,Low,Close,Volume,Adj Close
2014-09-26,11.19,11.19,11.19,11.19,000,11.19
2014-09-25,11.20,11.20,11.00,11.19,2400,11.19
2014-09-24,11.28,11.28,11.28,11.28,000,11.28
2014-09-23,11.15,11.31,11.00,11.28,6100,11.28
2014-09-22,11.41,11.41,11.11,11.11,2400,11.11
2014-09-19,11.30,11.32,11.10,11.10,4000,11.10
2014-09-18,11.62,11.62,11.62,11.62,300,11.62
2014-09-17,11.88,11.88,11.30,11.52,2100,11.52
2014-09-16,11.39,11.39,11.39,11.39,200,11.39
2014-09-15,11.73,11.73,11.30,11.37,5800,11.37
2014-09-12,11.20,12.39,11.20,11.36,11900,11.36
2014-09-11,11.10,11.50,11.10,11.30,1700,11.30
2014-09-10,11.61,11.61,11.30,11.45,12800,11.45
2014-09-09,11.02,11.76,11.02,11.58,6100,11.58
2014-09-08,11.35,11.69,11.30,11.69,3800,11.69
2014-09-05,11.35,11.69,11.35,11.35,6300,11.35
2014-09-04,11.40,11.81,11.40,11.81,4700,11.81
2014-09-03,11.90,11.90,11.41,11.74,3300,11.74
2014-09-02,11.35,11.80,11.35,11.55,5600,11.55
2014-08-29,11.50,11.55,11.30,11.30,5900,11.30
2014-08-28,11.38,11.86,11.38,11.86,300,11.86
2014-08-27,11.31,11.83,11.31,11.83,700,11.83
2014-08-26,11.94,11.94,11.94,11.94,200,11.94
2014-08-25,11.10,11.52,11.05,11.49,3500,11.49
2014-08-22,11.15,11.15,11.00,11.08,2700,11.08
2014-08-21,11.06,11.55,10.90,11.09,10400,11.09
2014-08-20,11.20,11.20,10.95,11.07,5600,11.07
2014-08-19,11.50,11.50,11.00,11.05,5400,11.05
2014-08-18,12.52,12.52,11.34,11.47,14900,11.47
2014-08-15,13.00,13.00,12.50,12.52,6400,12.52
2014-08-14,12.94,13.39,12.94,13.25,3100,13.25
2014-08-13,14.65,14.65,12.39,12.90,8800,12.90
2014-08-12,14.65,15.20,14.65,15.20,2600,15.20
2014-08-11,15.25,15.36,15.07,15.36,1000,15.36
2014-08-08,15.54,15.54,15.25,15.43,1000,15.43
2014-08-07,15.50,15.51,15.25,15.25,1400,15.25
2014-08-06,15.50,15.54,15.50,15.54,2200,15.54
2014-08-05,15.79,15.95,15.55,15.95,800,15.95
2014-08-04,15.79,15.79,15.79,15.79,000,15.79
2014-08-01,15.79,15.79,15.79,15.79,300,15.79
2014-07-31,15.81,15.87,15.79,15.79,1300,15.79
2014-07-30,15.83,15.83,15.83,15.83,500,15.83
2014-07-29,15.86,16.20,15.86,15.86,17800,15.86
2014-07-28,16.29,16.29,16.29,16.29,000,16.29
2014-07-25,16.15,16.29,15.79,16.29,11600,16.29
2014-07-24,16.15,16.29,15.84,16.29,30500,16.29
2014-07-23,15.79,16.30,15.79,16.30,300,16.30
2014-07-22,16.10,16.14,15.96,16.10,10500,16.10
2014-07-21,16.03,16.40,16.03,16.40,800,16.40
2014-07-18,16.40,16.40,16.40,16.40,400,16.40
2014-07-17,15.93,16.10,15.93,16.05,3400,16.05
2014-07-16,16.38,16.38,15.96,15.96,400,15.96
2014-07-15,16.08,16.15,16.08,16.15,800,16.15
2014-07-14,15.78,16.08,15.78,16.08,2400,16.08
2014-07-11,16.08,16.08,16.08,16.08,300,16.08
2014-07-10,15.76,16.30,15.76,16.06,7000,16.06
2014-07-09,15.97,16.37,15.77,15.83,5400,15.83
2014-07-08,15.50,15.95,15.50,15.76,2200,15.76
2014-07-07,15.75,16.00,15.64,15.64,1900,15.64
2014-07-03,15.90,15.90,15.90,15.90,300,15.90
2014-07-02,16.40,16.40,15.75,16.02,1500,16.02
2014-07-01,16.14,16.40,16.14,16.37,1100,16.37
2014-06-30,16.17,16.17,15.58,15.58,400,15.58
2014-06-27,16.12,16.12,16.06,16.06,200,16.06
2014-06-26,16.05,16.05,15.84,15.88,1300,15.88
2014-06-25,16.03,16.32,16.03,16.27,3000,16.27
2014-06-24,17.06,17.06,16.66,16.66,1200,16.66
2014-06-23,15.77,17.01,15.77,17.00,2900,17.00
2014-06-20,16.02,16.68,16.02,16.68,700,16.68
2014-06-19,16.50,16.50,16.50,16.50,200,16.50
2014-06-18,16.50,16.71,16.50,16.71,2900,16.71
2014-06-17,16.50,16.50,16.50,16.50,100,16.50
2014-06-16,16.76,17.00,16.35,16.35,1000,16.35
2014-06-13,16.26,16.26,16.26,16.26,400,16.26
2014-06-12,16.87,17.05,16.05,16.05,6500,16.05
2014-06-11,16.50,16.50,16.49,16.50,2100,16.50
2014-06-10,16.55,17.18,16.51,16.57,1500,16.57
2014-06-09,17.19,17.19,15.91,17.00,3300,17.00
2014-06-06,16.36,16.90,16.36,16.50,2400,16.50
2014-06-05,16.13,16.30,16.10,16.30,1000,16.30
2014-06-04,16.36,16.36,15.89,16.31,700,16.31
2014-06-03,16.32,16.32,16.32,16.32,400,16.32
2014-06-02,16.24,16.40,15.67,16.40,600,16.40
2014-05-30,15.84,16.11,15.75,15.76,4400,15.76
2014-05-29,16.27,16.34,15.55,15.55,11100,15.55
2014-05-28,16.11,16.20,15.83,16.16,1100,16.16
2014-05-27,16.05,16.05,15.75,15.75,6300,15.75
2014-05-23,16.34,16.34,16.07,16.25,2200,16.25
2014-05-22,16.80,16.80,15.69,16.70,7200,16.70
2014-05-21,16.48,16.48,16.48,16.48,100,16.48
2014-05-20,16.97,16.97,16.30,16.30,700,16.30
2014-05-19,15.56,16.47,15.56,16.47,8500,16.47
2014-05-16,15.68,15.86,15.68,15.86,500,15.86
2014-05-15,15.50,15.71,15.25,15.60,2100,15.60
2014-05-14,15.94,15.94,15.94,15.94,200,15.94
2014-05-13,16.13,16.19,15.41,15.88,2300,15.88
2014-05-12,17.70,17.70,16.20,16.24,8400,16.24
2014-05-09,17.36,17.40,17.11,17.11,1500,17.11
2014-05-08,17.80,17.80,17.80,17.80,000,17.80
2014-05-07,17.80,17.80,17.80,17.80,000,17.80
2014-05-06,18.19,18.19,17.80,17.80,400,17.80
2014-05-05,17.56,18.07,17.27,17.66,12300,17.66
2014-05-02,17.67,18.25,17.54,17.54,7900,17.54
2014-05-01,18.24,18.25,17.80,18.25,6900,18.25
2014-04-30,18.10,18.30,17.60,18.25,4800,18.25
2014-04-29,17.60,18.38,17.38,18.38,7400,18.38
2014-04-28,18.00,18.40,17.80,18.40,2700,18.40
2014-04-25,18.50,18.50,18.50,18.50,000,18.50
2014-04-24,18.50,18.50,18.50,18.50,100,18.50
2014-04-23,18.38,18.50,17.90,17.90,4700,17.90
2014-04-22,17.40,18.18,17.32,18.18,6900,18.18
2014-04-21,18.19,18.19,17.60,18.02,7000,18.02
2014-04-17,17.31,18.39,17.31,18.18,2600,18.18
2014-04-16,17.59,18.35,17.50,18.35,7700,18.35
2014-04-15,18.49,18.50,17.15,18.39,7500,18.39
2014-04-14,18.90,18.90,17.40,17.55,1100,17.55
2014-04-11,18.00,18.10,17.52,18.04,1200,18.04
2014-04-10,17.70,18.90,17.70,17.87,17800,17.87
2014-04-09,17.69,17.69,17.67,17.67,300,17.67
2014-04-08,17.33,17.80,17.33,17.69,400,17.69
2014-04-07,17.16,17.80,17.16,17.18,1000,17.18
2014-04-04,17.75,17.75,17.20,17.61,6200,17.61
2014-04-03,17.70,17.70,17.25,17.25,300,17.25
2014-04-02,17.29,17.55,17.25,17.55,1300,17.55
2014-04-01,17.75,17.75,17.60,17.63,400,17.63
2014-03-31,16.91,17.81,16.91,17.80,2000,17.80
2014-03-28,16.93,17.81,16.93,17.81,4600,17.81
2014-03-27,17.30,17.30,17.30,17.30,200,17.30
2014-03-26,17.97,17.97,17.97,17.97,000,17.97
2014-03-25,17.97,17.97,17.82,17.97,500,17.97
2014-03-24,17.00,17.84,16.86,17.45,3000,17.45
2014-03-21,16.88,17.84,16.88,17.26,2100,17.26
2014-03-20,17.10,18.50,17.10,17.55,14100,17.55
2014-03-19,17.98,18.50,17.08,17.45,5800,17.45
2014-03-18,16.51,17.40,16.17,17.15,15000,17.15
2014-03-17,16.44,16.51,15.87,16.50,4100,16.50
2014-03-14,17.14,17.14,17.14,17.14,000,17.14
2014-03-13,17.10,17.20,17.06,17.14,4500,17.14
2014-03-12,16.70,18.40,16.70,18.07,17600,18.07
2014-03-11,17.21,17.21,17.14,17.14,300,17.14
2014-03-10,17.79,17.79,17.79,17.79,400,17.79
2014-03-07,17.10,17.50,17.10,17.50,1400,17.50
2014-03-06,17.88,17.88,17.13,17.47,4800,17.47
2014-03-05,17.85,17.90,17.85,17.90,3500,17.90
2014-03-04,17.98,17.98,17.98,17.98,900,17.98
2014-03-03,17.80,17.80,17.80,17.80,200,17.80
2014-02-28,18.07,18.07,18.07,18.07,000,18.07
2014-02-27,17.52,18.07,16.72,18.07,1800,18.07
2014-02-26,18.40,18.40,18.08,18.08,600,18.08
2014-02-25,18.40,18.40,18.40,18.40,100,18.40
2014-02-24,18.45,18.50,18.32,18.40,1700,18.40
2014-02-21,18.94,18.94,18.25,18.90,1600,18.90
2014-02-20,19.00,19.00,18.17,18.92,2700,18.92
2014-02-19,18.55,18.97,18.11,18.94,2200,18.94
2014-02-18,18.40,18.98,18.40,18.98,2000,18.98
2014-02-14,17.15,18.40,17.15,18.40,7700,18.40
2014-02-13,17.39,17.71,17.02,17.65,1400,17.65
2014-02-12,16.70,17.39,16.68,17.39,3300,17.39
2014-02-11,16.02,16.74,16.02,16.70,3800,16.70
2014-02-10,15.08,16.02,15.03,16.02,5900,16.02
2014-02-07,15.53,15.70,15.53,15.70,1700,15.70
2014-02-06,15.97,15.98,15.97,15.98,900,15.98
2014-02-05,15.44,15.55,15.43,15.55,2200,15.55
2014-02-04,15.36,15.36,15.34,15.34,300,15.34
2014-02-03,15.36,15.36,15.36,15.36,600,15.36
2014-01-31,16.31,16.46,15.52,15.62,3700,15.62
2014-01-30,16.46,16.46,16.34,16.34,6600,16.34
2014-01-29,16.77,16.77,16.46,16.48,1000,16.48
2014-01-28,16.43,16.79,16.40,16.74,1700,16.74
2014-01-27,16.53,16.56,16.50,16.50,1700,16.50
2014-01-24,16.54,16.54,16.54,16.54,000,16.54
2014-01-23,16.54,16.57,16.54,16.54,600,16.54
2014-01-22,16.53,16.87,16.53,16.87,1300,16.87
2014-01-21,16.40,16.87,16.35,16.63,5600,16.63
2014-01-17,16.40,16.69,16.35,16.35,1000,16.35
2014-01-16,16.36,16.86,16.34,16.39,3900,16.39
2014-01-15,16.60,16.87,16.60,16.87,1000,16.87
2014-01-14,16.50,16.60,16.40,16.47,4200,16.47
2014-01-13,16.50,16.50,16.35,16.35,600,16.35
2014-01-10,16.48,16.60,16.48,16.60,1100,16.60
2014-01-09,16.34,16.84,16.34,16.41,1000,16.41
2014-01-08,16.71,16.71,16.56,16.66,500,16.66
2014-01-07,16.84,16.84,16.37,16.84,2100,16.84
2014-01-06,16.90,16.99,16.50,16.83,3200,16.83
2014-01-03,17.14,17.15,16.33,16.90,8000,16.90
2014-01-02,16.10,17.19,16.10,16.80,6400,16.80
2013-12-31,16.92,17.19,16.56,17.18,7900,17.18
2013-12-30,17.13,17.20,16.96,17.17,5300,17.17
2013-12-27,17.16,17.16,17.16,17.16,000,17.16
2013-12-26,17.06,17.20,17.06,17.16,3700,17.16
2013-12-24,17.00,17.20,17.00,17.20,800,17.20
2013-12-23,16.91,17.21,16.84,17.05,8400,17.05
2013-12-20,17.13,17.13,16.87,17.02,2500,17.02
2013-12-19,17.18,17.18,16.84,16.84,1200,16.84
2013-12-18,16.78,17.23,16.60,16.99,5000,16.99
2013-12-17,17.04,17.20,16.95,17.13,1800,17.13
2013-12-16,17.46,17.46,16.58,16.90,5900,16.90
2013-12-13,17.46,17.99,17.02,17.95,3300,17.95
2013-12-12,17.86,18.00,16.71,17.62,3600,17.62
2013-12-11,17.70,18.60,17.20,17.42,1500,17.42
2013-12-10,17.87,17.98,16.96,17.96,1400,17.96
2013-12-09,18.66,18.97,17.15,17.70,9900,17.70
2013-12-06,18.67,18.67,18.02,18.63,1300,18.63
2013-12-05,17.57,18.31,17.57,18.26,7700,18.26
2013-12-04,19.15,19.27,17.72,18.68,2700,18.68
2013-12-03,18.20,19.50,18.02,18.59,11800,18.59
2013-12-02,16.27,17.76,16.26,17.63,9300,17.63
