Date,Open,High,Low,Close,Volume,Adj Close
2014-10-03,3.45,3.55,3.45,3.55,9100,3.55
2014-10-02,3.67,3.67,3.59,3.59,2000,3.59
2014-10-01,3.36,3.49,3.36,3.49,6200,3.49
2014-09-30,3.38,3.57,3.38,3.45,10900,3.45
2014-09-29,3.46,3.60,3.35,3.60,27100,3.60
2014-09-26,3.60,3.67,3.45,3.67,1200,3.67
2014-09-25,3.69,3.74,3.44,3.60,9400,3.60
2014-09-24,3.49,3.88,3.42,3.59,79300,3.59
2014-09-23,3.42,3.42,3.40,3.40,5200,3.40
2014-09-22,3.44,3.49,3.31,3.40,9700,3.40
2014-09-19,3.46,3.59,3.40,3.40,13400,3.40
2014-09-18,3.49,3.50,3.40,3.43,20100,3.43
2014-09-17,3.25,3.58,3.25,3.50,7800,3.50
2014-09-16,3.22,3.34,3.22,3.31,26900,3.31
2014-09-15,3.34,3.38,3.08,3.22,34900,3.22
2014-09-12,3.32,3.43,3.31,3.35,10500,3.35
2014-09-11,3.50,3.50,3.25,3.31,40000,3.31
2014-09-10,3.97,3.98,3.45,3.54,63200,3.54
2014-09-09,3.45,5.24,3.26,3.71,712600,3.71
2014-09-08,3.10,3.58,3.10,3.41,116800,3.41
2014-09-05,2.84,3.34,2.58,3.08,50500,3.08
2014-09-04,2.72,2.82,2.72,2.82,1300,2.82
2014-09-03,2.70,2.70,2.67,2.67,3500,2.67
2014-09-02,2.84,2.84,2.68,2.80,10000,2.80
2014-08-29,2.81,2.81,2.67,2.80,9000,2.80
2014-08-28,2.76,2.83,2.76,2.77,2100,2.77
2014-08-27,2.84,2.85,2.81,2.85,2400,2.85
2014-08-26,2.88,2.88,2.76,2.85,4100,2.85
2014-08-25,2.87,2.87,2.87,2.87,1000,2.87
2014-08-22,2.82,2.83,2.68,2.83,13800,2.83
2014-08-21,2.82,2.88,2.82,2.85,6900,2.85
2014-08-20,2.97,2.97,2.78,2.83,6500,2.83
2014-08-19,3.00,3.00,2.81,2.83,19200,2.83
2014-08-18,2.91,2.95,2.90,2.90,4800,2.90
2014-08-15,2.89,2.99,2.88,2.95,26300,2.95
2014-08-14,3.00,3.00,2.83,2.86,6300,2.86
2014-08-13,2.94,3.00,2.80,3.00,8300,3.00
2014-08-12,2.95,2.95,2.65,2.95,10000,2.95
2014-08-11,2.96,3.03,2.96,2.96,20100,2.96
2014-08-08,2.81,2.96,2.77,2.96,17000,2.96
2014-08-07,3.22,3.25,2.96,2.96,83100,2.96
2014-08-06,3.31,3.35,3.30,3.31,5200,3.31
2014-08-05,3.44,3.44,3.30,3.33,24200,3.33
2014-08-04,3.49,3.50,3.25,3.40,31900,3.40
2014-08-01,3.50,3.68,3.48,3.50,31000,3.50
2014-07-31,3.75,3.75,3.54,3.54,20400,3.54
2014-07-30,3.99,4.22,3.67,3.73,144700,3.73
2014-07-29,4.06,4.30,3.96,3.96,45100,3.96
2014-07-28,4.01,4.13,3.92,4.00,3900,4.00
2014-07-25,4.20,4.21,3.99,4.01,11800,4.01
2014-07-24,4.20,4.21,4.20,4.21,3000,4.21
2014-07-23,4.19,4.23,4.02,4.20,21400,4.20
2014-07-22,4.41,4.41,4.16,4.24,7000,4.24
2014-07-21,4.45,4.46,4.25,4.43,15700,4.43
2014-07-18,4.21,4.48,4.18,4.43,7200,4.43
2014-07-17,4.30,4.35,4.14,4.27,18000,4.27
2014-07-16,4.35,4.41,4.24,4.30,15100,4.30
2014-07-15,4.15,4.33,4.14,4.31,3900,4.31
2014-07-14,4.43,4.43,4.36,4.36,1400,4.36
2014-07-11,4.31,4.31,4.31,4.31,100,4.31
2014-07-10,4.29,4.29,4.29,4.29,100,4.29
2014-07-09,4.55,4.55,4.43,4.47,1800,4.47
2014-07-08,4.37,4.62,4.37,4.39,7500,4.39
2014-07-07,4.60,4.60,4.41,4.50,1100,4.50
2014-07-03,4.21,4.59,4.21,4.57,1900,4.57
2014-07-02,4.49,4.68,4.37,4.41,20600,4.41
2014-07-01,4.12,4.45,4.12,4.45,15100,4.45
2014-06-30,4.22,4.25,4.14,4.25,3800,4.25
2014-06-27,4.05,4.06,4.02,4.06,2300,4.06
2014-06-26,4.06,4.08,3.97,4.06,2100,4.06
2014-06-25,4.24,4.24,4.24,4.24,100,4.24
2014-06-24,4.29,4.30,4.10,4.30,700,4.30
2014-06-23,4.26,4.26,4.26,4.26,300,4.26
2014-06-20,4.04,4.25,4.00,4.25,4300,4.25
2014-06-19,4.24,4.25,4.10,4.10,1400,4.10
2014-06-18,4.22,4.22,4.22,4.22,000,4.22
2014-06-17,4.00,4.39,3.96,4.22,12400,4.22
2014-06-16,3.78,3.95,3.70,3.95,9000,3.95
2014-06-13,3.90,3.90,3.90,3.90,000,3.90
2014-06-12,3.90,3.90,3.90,3.90,000,3.90
2014-06-11,3.73,3.90,3.73,3.90,2500,3.90
2014-06-10,3.87,4.00,3.72,3.85,6500,3.85
2014-06-09,3.79,3.87,3.74,3.87,15300,3.87
2014-06-06,3.74,3.82,3.74,3.80,2100,3.80
2014-06-05,3.95,3.98,3.59,3.77,12100,3.77
2014-06-04,3.97,3.98,3.96,3.98,1600,3.98
2014-06-03,3.82,3.85,3.75,3.85,3300,3.85
2014-06-02,3.90,3.90,3.90,3.90,100,3.90
2014-05-30,3.90,3.90,3.83,3.87,7900,3.87
2014-05-29,3.85,3.92,3.85,3.90,1400,3.90
2014-05-28,3.90,3.90,3.90,3.90,1000,3.90
2014-05-27,3.90,3.90,3.80,3.90,8000,3.90
2014-05-23,3.84,3.84,3.84,3.84,1500,3.84
2014-05-22,3.82,3.83,3.82,3.83,500,3.83
2014-05-21,3.81,3.95,3.81,3.95,1500,3.95
2014-05-20,3.92,3.92,3.92,3.92,800,3.92
2014-05-19,3.90,3.90,3.90,3.90,400,3.90
2014-05-16,3.87,3.87,3.80,3.81,5500,3.81
2014-05-15,3.95,3.95,3.77,3.87,25900,3.87
2014-05-14,4.35,4.35,4.02,4.03,5100,4.03
2014-05-13,4.10,4.10,3.98,4.09,3200,4.09
2014-05-12,4.27,4.27,4.10,4.10,20400,4.10
2014-05-09,3.97,3.97,3.97,3.97,400,3.97
2014-05-08,4.15,4.24,3.95,4.04,1600,4.04
2014-05-07,4.15,4.19,4.03,4.03,12800,4.03
2014-05-06,4.10,4.10,4.01,4.01,800,4.01
2014-05-05,4.10,4.10,4.10,4.10,1000,4.10
2014-05-02,4.11,4.11,3.96,4.01,9800,4.01
2014-05-01,4.05,4.23,4.05,4.14,6100,4.14
2014-04-30,4.10,4.14,4.00,4.05,8700,4.05
2014-04-29,4.21,4.21,4.12,4.12,6700,4.12
2014-04-28,4.25,4.25,4.22,4.25,1200,4.25
2014-04-25,4.24,4.28,4.15,4.22,13700,4.22
2014-04-24,4.26,4.30,4.10,4.20,11500,4.20
2014-04-23,4.33,4.34,4.22,4.30,23500,4.30
2014-04-22,4.41,4.44,4.28,4.43,4100,4.43
2014-04-21,4.40,4.46,4.28,4.30,5200,4.30
2014-04-17,4.36,4.44,4.35,4.44,3100,4.44
2014-04-16,4.32,4.46,4.22,4.45,8000,4.45
2014-04-15,4.46,4.46,4.19,4.37,11200,4.37
2014-04-14,4.41,4.46,4.39,4.46,2800,4.46
2014-04-11,4.36,4.37,4.35,4.35,5100,4.35
2014-04-10,4.40,4.40,4.32,4.33,4100,4.33
2014-04-09,4.34,4.52,4.26,4.40,14100,4.40
2014-04-08,4.47,4.47,4.34,4.34,7900,4.34
2014-04-07,4.51,4.52,4.40,4.40,11700,4.40
2014-04-04,4.67,4.67,4.55,4.55,17300,4.55
2014-04-03,4.60,4.69,4.58,4.58,1200,4.58
2014-04-02,4.71,4.71,4.65,4.70,3000,4.70
2014-04-01,4.70,4.70,4.55,4.59,19500,4.59
2014-03-31,4.84,4.84,4.80,4.82,2900,4.82
2014-03-28,4.90,4.90,4.78,4.78,2300,4.78
2014-03-27,4.69,4.80,4.69,4.77,3300,4.77
2014-03-26,4.91,4.92,4.80,4.81,13700,4.81
2014-03-25,4.94,4.94,4.92,4.94,9300,4.94
2014-03-24,5.00,5.13,4.91,4.91,34300,4.91
2014-03-21,5.17,5.21,5.04,5.08,26300,5.08
2014-03-20,5.38,5.45,5.17,5.17,25900,5.17
2014-03-19,5.68,6.37,5.29,5.31,174000,5.31
2014-03-18,5.65,5.68,5.45,5.59,2400,5.59
2014-03-17,5.53,5.68,5.53,5.65,1500,5.65
2014-03-14,5.28,5.49,5.28,5.49,2700,5.49
2014-03-13,5.65,5.67,5.27,5.34,32800,5.34
2014-03-12,5.60,5.85,5.60,5.66,17300,5.66
2014-03-11,5.57,5.58,5.35,5.53,30900,5.53
2014-03-10,5.40,5.50,5.40,5.50,48600,5.50
2014-03-07,5.23,5.30,5.23,5.25,4000,5.25
2014-03-06,5.42,5.63,5.13,5.20,18400,5.20
2014-03-05,5.22,5.37,5.11,5.28,5800,5.28
2014-03-04,5.49,5.65,5.26,5.26,12900,5.26
2014-03-03,5.65,5.70,5.14,5.34,3400,5.34
2014-02-28,5.60,5.61,5.35,5.35,8800,5.35
2014-02-27,5.79,5.82,5.45,5.60,2800,5.60
2014-02-26,5.16,5.80,5.16,5.80,2300,5.80
2014-02-25,5.41,5.93,5.37,5.50,22300,5.50
2014-02-24,5.21,5.48,5.10,5.45,58300,5.45
2014-02-21,5.24,5.24,5.19,5.22,16000,5.22
2014-02-20,5.14,5.15,4.93,5.15,1200,5.15
2014-02-19,5.20,5.20,4.96,5.15,3500,5.15
2014-02-18,5.02,5.18,4.95,5.16,4900,5.16
2014-02-14,5.13,5.19,4.93,4.95,1700,4.95
2014-02-13,5.18,5.18,5.15,5.15,600,5.15
2014-02-12,5.05,5.15,5.00,5.15,8700,5.15
2014-02-11,5.15,5.22,5.05,5.05,14500,5.05
2014-02-10,5.00,5.15,5.00,5.15,13500,5.15
2014-02-07,5.16,5.16,5.00,5.00,1700,5.00
2014-02-06,5.24,5.24,4.89,5.00,21000,5.00
2014-02-05,4.90,4.95,4.90,4.95,4200,4.95
2014-02-04,4.98,4.98,4.75,4.81,17100,4.81
2014-02-03,5.10,5.11,4.75,4.91,41400,4.91
2014-01-31,5.24,5.24,4.95,5.02,34000,5.02
2014-01-30,5.43,5.62,5.00,5.11,54700,5.11
2014-01-29,5.70,5.80,5.26,5.29,123800,5.29
2014-01-28,5.37,5.51,5.10,5.46,107200,5.46
2014-01-27,5.29,6.25,5.20,5.54,290700,5.54
2014-01-24,5.31,5.31,5.21,5.21,1900,5.21
2014-01-23,5.23,5.32,5.18,5.31,25100,5.31
2014-01-22,5.25,5.25,5.18,5.23,15800,5.23
2014-01-21,5.04,5.36,5.04,5.22,8700,5.22
2014-01-17,5.29,5.29,5.04,5.07,8200,5.07
2014-01-16,5.39,5.40,5.29,5.29,400,5.29
2014-01-15,5.28,5.48,5.27,5.39,13200,5.39
2014-01-14,5.39,5.60,5.20,5.49,29700,5.49
2014-01-13,5.49,5.49,5.30,5.33,9400,5.33
2014-01-10,5.28,5.65,5.28,5.44,9700,5.44
2014-01-09,5.10,5.45,5.06,5.28,53800,5.28
2014-01-08,5.12,5.20,5.10,5.10,2600,5.10
2014-01-07,5.04,5.29,5.04,5.10,6600,5.10
2014-01-06,4.97,5.01,4.97,5.01,3200,5.01
2014-01-03,5.10,5.12,4.98,5.12,19100,5.12
2014-01-02,5.00,5.19,4.95,5.19,4000,5.19
2013-12-31,5.04,5.10,5.04,5.10,16300,5.10
2013-12-30,4.96,5.05,4.96,5.05,1900,5.05
2013-12-27,4.99,4.99,4.94,4.94,2000,4.94
2013-12-26,5.05,5.05,4.91,4.99,9500,4.99
2013-12-24,5.05,5.05,5.05,5.05,2300,5.05
2013-12-23,4.92,5.05,4.83,5.05,22700,5.05
2013-12-20,4.91,5.00,4.81,4.81,67500,4.81
2013-12-19,4.80,4.94,4.80,4.94,10100,4.94
2013-12-18,4.82,4.83,4.80,4.81,16900,4.81
2013-12-17,4.85,4.85,4.75,4.75,26500,4.75
2013-12-16,4.77,4.85,4.76,4.85,27600,4.85
2013-12-13,4.69,4.92,4.69,4.76,3100,4.76
2013-12-12,4.72,4.93,4.72,4.93,5900,4.93
2013-12-11,5.06,5.06,4.72,4.74,31700,4.74
2013-12-10,4.75,5.08,4.75,5.06,143900,5.06
2013-12-09,4.70,5.10,4.70,4.84,198600,4.84
2013-12-06,4.73,4.75,4.50,4.75,23700,4.75
2013-12-05,4.27,4.79,4.10,4.65,74000,4.65
2013-12-04,4.00,4.25,3.98,4.25,14000,4.25
2013-12-03,3.99,4.02,3.85,3.95,10200,3.95
2013-12-02,4.07,4.15,4.05,4.09,7900,4.09
