Date,Open,High,Low,Close,Volume,Adj Close
2014-08-06,28.91,29.62,28.68,29.58,64100,29.58
2014-08-05,28.15,29.31,27.79,28.97,103200,28.97
2014-08-04,28.15,28.50,27.09,28.41,104200,28.41
2014-08-01,28.48,28.99,27.78,28.01,84000,28.01
2014-07-31,30.12,30.26,28.61,28.64,93100,28.64
2014-07-30,30.92,30.93,30.37,30.63,89300,30.63
2014-07-29,30.21,30.90,30.00,30.72,96500,30.72
2014-07-28,30.03,30.34,29.56,30.25,61600,30.25
2014-07-25,30.00,30.19,29.70,30.01,86100,30.01
2014-07-24,27.55,30.19,27.55,30.10,107800,30.10
2014-07-23,27.15,27.42,27.12,27.32,35900,27.32
2014-07-22,27.43,27.57,27.19,27.24,25300,27.24
2014-07-21,27.39,27.54,27.10,27.30,36500,27.30
2014-07-18,26.83,27.70,26.83,27.57,64100,27.57
2014-07-17,26.68,27.10,26.54,26.87,56600,26.87
2014-07-16,27.22,27.33,26.56,26.71,59600,26.71
2014-07-15,27.94,27.96,26.93,27.03,51700,27.03
2014-07-14,28.24,28.53,27.63,27.94,56600,27.94
2014-07-11,28.50,28.66,27.61,28.01,54000,28.01
2014-07-10,28.29,28.94,28.13,28.53,57100,28.53
2014-07-09,28.77,29.06,28.53,28.94,49300,28.94
2014-07-08,28.69,28.91,28.20,28.79,65400,28.79
2014-07-07,29.09,29.10,28.42,28.83,65000,28.83
2014-07-03,29.01,29.20,28.71,29.07,38400,29.07
2014-07-02,29.49,29.59,28.72,28.97,63600,28.97
2014-07-01,27.62,29.78,27.54,29.49,142000,29.49
2014-06-30,27.62,27.79,27.23,27.53,139600,27.53
2014-06-27,27.24,27.77,27.12,27.52,80400,27.52
2014-06-26,28.24,28.34,27.11,27.40,44100,27.40
2014-06-25,27.35,28.52,27.32,28.32,51900,28.32
2014-06-24,27.00,27.74,26.87,27.39,72000,27.39
2014-06-23,27.00,27.40,26.66,27.05,102400,27.05
2014-06-20,27.13,27.41,26.88,27.00,138000,27.00
2014-06-19,26.81,27.22,26.65,27.13,49100,27.13
2014-06-18,26.86,26.94,26.29,26.76,50000,26.76
2014-06-17,26.25,27.00,26.14,26.86,66900,26.86
2014-06-16,26.36,26.51,25.92,26.33,62000,26.33
2014-06-13,25.75,26.37,25.49,26.34,63700,26.34
2014-06-12,25.49,25.91,25.15,25.81,66700,25.81
2014-06-11,25.69,25.99,25.47,25.63,81000,25.63
2014-06-10,23.88,25.80,23.88,25.76,103300,25.76
2014-06-09,23.13,23.88,22.98,23.58,47000,23.58
2014-06-06,23.62,23.75,23.05,23.12,61100,23.12
2014-06-05,22.92,23.60,22.55,23.50,32600,23.50
2014-06-04,22.77,23.09,22.55,22.88,49000,22.88
2014-06-03,23.23,23.36,22.79,22.88,47300,22.88
2014-06-02,23.38,23.63,22.94,23.26,55100,23.26
2014-05-30,23.28,23.60,23.13,23.28,115600,23.28
2014-05-29,23.03,23.33,22.56,23.22,51200,23.22
2014-05-28,23.27,23.27,22.71,22.88,38000,22.88
2014-05-27,23.49,24.09,23.10,23.34,53100,23.34
2014-05-23,22.74,23.48,22.74,23.33,35500,23.33
2014-05-22,22.79,23.07,22.59,22.75,38400,22.75
2014-05-21,22.47,22.88,22.18,22.72,38300,22.72
2014-05-20,22.96,23.07,22.00,22.43,71900,22.43
2014-05-19,22.85,23.47,22.85,23.16,47600,23.16
2014-05-16,22.31,22.99,22.11,22.97,58500,22.97
2014-05-15,22.02,22.72,21.32,22.36,71100,22.36
2014-05-14,23.04,23.04,22.03,22.13,59100,22.13
2014-05-13,23.91,23.94,22.87,23.07,96300,23.07
2014-05-12,23.18,24.13,23.18,23.91,57800,23.91
2014-05-09,22.37,23.07,22.37,23.01,40200,23.01
2014-05-08,22.97,23.30,22.41,22.44,54300,22.44
2014-05-07,22.42,23.04,21.76,22.97,67100,22.97
2014-05-06,22.72,23.20,22.30,22.40,64400,22.40
2014-05-05,21.69,22.97,21.69,22.84,81500,22.84
2014-05-02,21.71,22.20,21.64,21.86,72500,21.86
2014-05-01,21.97,22.26,21.22,21.64,68200,21.64
2014-04-30,21.53,22.18,21.15,22.14,78900,22.14
2014-04-29,21.80,21.99,21.43,21.63,51200,21.63
2014-04-28,21.75,22.49,21.56,21.77,86500,21.77
2014-04-25,22.04,22.34,21.40,21.75,64100,21.75
2014-04-24,21.75,22.61,21.60,22.06,130900,22.06
2014-04-23,21.43,22.00,21.25,21.54,35300,21.54
2014-04-22,21.63,21.72,21.39,21.50,35500,21.50
2014-04-21,21.54,21.57,21.26,21.48,18900,21.48
2014-04-17,21.77,21.98,21.40,21.47,24700,21.47
2014-04-16,21.87,22.05,21.43,21.84,47800,21.84
2014-04-15,21.83,21.92,20.76,21.74,81800,21.74
2014-04-14,21.90,22.14,21.51,21.83,47600,21.83
2014-04-11,21.77,22.02,21.62,21.67,60300,21.67
2014-04-10,22.31,22.31,21.65,21.99,63400,21.99
2014-04-09,22.09,22.48,22.00,22.39,33000,22.39
2014-04-08,21.97,22.31,21.97,22.09,62200,22.09
2014-04-07,22.25,22.35,21.92,22.00,41600,22.00
2014-04-04,22.94,22.94,21.79,22.38,63700,22.38
2014-04-03,22.95,23.18,22.62,22.82,37100,22.82
2014-04-02,22.95,22.97,22.15,22.88,65100,22.88
2014-04-01,23.11,23.36,22.67,22.95,45200,22.95
2014-03-31,22.45,23.17,22.45,23.07,59800,23.07
2014-03-28,22.34,22.92,22.16,22.33,21800,22.33
2014-03-27,22.44,22.59,21.92,22.34,52100,22.34
2014-03-26,23.52,23.52,22.42,22.46,36700,22.46
2014-03-25,23.45,23.56,22.94,23.32,29100,23.32
2014-03-24,24.09,24.09,23.13,23.32,70000,23.32
2014-03-21,24.45,24.51,23.97,24.09,95200,24.09
2014-03-20,24.55,24.82,24.03,24.39,29100,24.39
2014-03-19,25.16,25.30,24.28,24.65,28800,24.65
2014-03-18,24.93,25.37,24.85,25.21,92600,25.21
2014-03-17,25.74,26.00,24.65,24.95,88300,24.95
2014-03-14,25.47,25.95,25.41,25.60,42500,25.60
2014-03-13,25.99,26.00,25.37,25.45,47300,25.45
2014-03-12,25.35,26.07,25.35,25.98,46700,25.98
2014-03-11,25.91,26.03,25.21,25.50,76500,25.50
2014-03-10,25.63,26.25,25.63,25.93,68800,25.93
2014-03-07,25.55,25.99,25.16,25.73,60300,25.73
2014-03-06,24.92,25.60,24.82,25.39,42900,25.39
2014-03-05,25.24,25.34,24.65,24.94,43400,24.94
2014-03-04,24.92,25.56,24.67,25.36,80100,25.36
2014-03-03,24.39,24.63,23.94,24.50,69400,24.50
2014-02-28,24.82,24.94,24.37,24.74,67400,24.74
2014-02-27,24.50,24.92,24.46,24.85,43800,24.85
2014-02-26,24.09,24.68,24.09,24.57,61000,24.57
2014-02-25,23.75,24.36,23.75,24.04,49600,24.04
2014-02-24,23.59,24.24,23.59,23.81,36500,23.81
2014-02-21,23.52,24.06,23.48,23.62,67900,23.62
2014-02-20,23.22,23.74,23.22,23.44,29200,23.44
2014-02-19,23.44,23.93,23.16,23.24,66100,23.24
2014-02-18,23.33,23.64,23.15,23.58,64100,23.58
2014-02-14,23.53,23.53,22.86,23.24,57100,23.24
2014-02-13,22.98,23.73,22.98,23.52,49500,23.52
2014-02-12,23.12,23.62,22.90,23.19,62800,23.19
2014-02-11,23.32,23.50,22.90,23.11,70600,23.11
2014-02-10,23.51,23.51,22.63,23.32,76800,23.32
2014-02-07,22.98,23.55,22.97,23.51,78800,23.51
2014-02-06,23.08,23.42,22.44,22.86,105800,22.86
2014-02-05,22.41,23.17,22.19,23.06,94100,23.06
2014-02-04,22.50,23.44,22.39,22.63,105700,22.63
2014-02-03,23.27,23.49,21.99,22.27,147600,22.27
2014-01-31,23.08,23.49,22.95,23.19,100600,23.19
2014-01-30,22.82,24.02,22.63,23.49,155200,23.49
2014-01-29,22.06,22.62,22.06,22.56,106600,22.56
2014-01-28,22.15,22.76,21.80,22.30,143000,22.30
2014-01-27,21.90,22.51,21.21,22.15,105500,22.15
2014-01-24,23.66,23.85,20.82,21.75,271900,21.75
2014-01-23,24.43,24.43,22.95,23.88,126900,23.88
2014-01-22,25.10,25.58,23.71,24.64,124800,24.64
2014-01-21,25.68,25.92,25.04,25.40,52700,25.40
2014-01-17,25.70,25.90,25.46,25.72,72100,25.72
2014-01-16,26.42,26.49,25.44,25.92,76700,25.92
2014-01-15,26.37,26.50,26.14,26.46,40900,26.46
2014-01-14,26.01,26.46,25.52,26.30,117800,26.30
2014-01-13,25.95,26.25,25.47,25.95,83800,25.95
2014-01-10,26.81,26.81,25.91,26.10,62500,26.10
2014-01-09,26.23,27.10,26.00,26.75,72100,26.75
2014-01-08,27.13,27.13,25.73,26.21,74300,26.21
2014-01-07,26.93,27.29,26.75,27.23,41300,27.23
2014-01-06,27.35,27.35,26.72,26.84,40500,26.84
2014-01-03,27.25,27.48,27.18,27.26,28500,27.26
2014-01-02,27.21,27.57,26.70,27.29,51600,27.29
2013-12-31,27.49,27.57,26.85,27.24,64500,27.24
2013-12-30,27.28,27.58,27.19,27.41,53200,27.41
2013-12-27,27.87,27.87,27.20,27.40,29600,27.40
2013-12-26,27.90,27.92,27.45,27.75,36400,27.75
2013-12-24,27.61,27.94,27.25,27.87,18900,27.87
2013-12-23,27.90,27.90,27.22,27.50,50100,27.50
2013-12-20,27.14,27.75,27.14,27.69,90200,27.69
2013-12-19,27.32,27.35,26.60,27.06,92500,27.06
2013-12-18,27.16,27.53,26.39,27.35,119900,27.35
2013-12-17,27.55,27.55,27.00,27.19,29300,27.19
2013-12-16,26.82,27.79,26.76,27.58,53400,27.58
2013-12-13,26.57,27.03,26.21,26.82,36400,26.82
2013-12-12,26.32,26.62,26.02,26.44,71400,26.44
2013-12-11,27.00,27.15,26.03,26.27,65300,26.27
2013-12-10,27.35,27.39,26.55,27.04,103200,27.04
2013-12-09,26.81,27.44,26.67,27.34,84300,27.34
2013-12-06,26.61,26.97,26.30,26.81,96800,26.81
2013-12-05,26.32,26.72,26.13,26.40,79700,26.40
2013-12-04,26.53,26.55,26.00,26.29,64800,26.29
2013-12-03,27.34,27.46,26.37,26.66,73400,26.66
2013-12-02,27.74,27.88,26.88,27.56,94500,27.56
