Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,63.36,65.16,63.19,64.78,2901900,64.78
2013-12-31,63.57,63.63,63.20,63.37,789100,63.37
2013-12-30,63.49,63.60,63.05,63.29,589900,63.29
2013-12-27,63.59,63.72,63.15,63.36,568500,63.36
2013-12-26,63.31,63.74,63.13,63.39,774600,63.39
2013-12-24,63.18,63.30,62.99,63.25,493300,63.25
2013-12-23,63.00,63.39,62.97,63.26,1440600,63.26
2013-12-20,61.97,62.76,61.75,62.64,1929700,62.64
2013-12-19,62.01,62.15,61.44,61.69,1440000,61.69
2013-12-18,61.39,62.29,60.75,62.27,2153900,62.27
2013-12-17,59.83,60.23,59.63,60.22,2048300,60.22
2013-12-16,60.83,61.12,59.88,60.02,2869400,60.02
2013-12-13,60.20,60.97,60.16,60.30,2346900,60.30
2013-12-12,60.72,60.89,60.11,60.19,2270100,60.19
2013-12-11,61.25,61.73,60.52,60.63,1430600,60.63
2013-12-10,62.25,62.90,61.42,61.44,2060800,61.44
2013-12-09,58.48,62.78,58.47,62.17,5655400,62.17
2013-12-06,57.22,58.27,57.22,58.26,3246300,58.26
2013-12-05,57.24,57.30,56.85,57.12,2787400,57.12
2013-12-04,58.25,58.31,57.05,57.27,1980300,57.27
2013-12-03,59.20,59.20,58.28,58.50,1727400,58.50
2013-12-02,59.44,59.67,59.09,59.19,2109100,59.19
