Date,Open,High,Low,Close,Volume,Adj Close
2014-08-05,61.68,62.74,61.40,61.95,20800,61.95
2014-08-04,61.47,62.40,61.14,61.95,60300,61.95
2014-08-01,60.98,61.73,60.98,61.47,46500,61.47
2014-07-31,60.79,61.80,60.03,60.80,41700,60.80
2014-07-30,62.34,62.72,61.00,61.13,43500,61.13
2014-07-29,62.97,63.16,62.02,62.04,21100,62.04
2014-07-28,63.30,63.30,60.73,62.91,30600,62.91
2014-07-25,63.19,63.81,62.89,63.04,28400,63.04
2014-07-24,64.36,65.50,62.97,63.71,18800,63.71
2014-07-23,63.85,64.65,63.14,64.04,22300,64.04
2014-07-22,64.76,64.99,63.80,63.85,23600,63.85
2014-07-21,64.91,65.20,64.33,64.38,23300,64.38
2014-07-18,64.10,65.27,63.95,65.18,29900,65.18
2014-07-17,64.53,65.02,64.22,64.38,39500,64.38
2014-07-16,65.41,65.41,64.54,64.71,39600,64.71
2014-07-15,65.91,65.91,64.67,64.89,52700,64.89
2014-07-14,66.56,66.56,65.32,65.61,43100,65.61
2014-07-11,65.17,66.14,64.88,65.79,30600,65.79
2014-07-10,64.55,65.99,64.32,65.63,36600,65.63
2014-07-09,66.07,66.07,65.30,65.37,30000,65.37
2014-07-08,65.50,66.10,65.31,65.97,58000,65.97
2014-07-07,66.50,66.62,65.49,65.63,41800,65.63
2014-07-03,66.53,66.80,66.22,66.74,30700,66.74
2014-07-02,67.25,67.30,66.22,66.40,35600,66.40
2014-07-01,67.26,68.25,66.95,67.25,89100,67.25
2014-06-30,66.05,67.22,65.63,67.05,51500,67.05
2014-06-27,65.14,66.52,65.00,66.26,74800,66.26
2014-06-26,65.58,65.82,64.85,65.59,26500,65.59
2014-06-25,65.03,65.79,64.88,65.50,34100,65.50
2014-06-24,65.40,66.15,65.23,65.52,42000,65.52
2014-06-23,65.71,66.15,64.83,65.79,50700,65.79
2014-06-20,65.66,65.98,65.53,65.75,91800,65.75
2014-06-19,65.75,65.78,65.20,65.66,34800,65.66
2014-06-18,64.55,66.08,64.31,65.78,55100,65.78
2014-06-17,63.63,64.93,63.16,64.72,47000,64.72
2014-06-16,63.80,63.94,62.57,63.87,52600,63.87
2014-06-13,64.44,64.70,63.82,63.91,23300,63.91
2014-06-12,64.55,65.00,63.63,64.43,38600,64.43
2014-06-11,64.90,64.94,64.40,64.56,97300,64.56
2014-06-10,64.79,65.44,64.36,65.02,57800,65.02
2014-06-09,64.19,64.43,63.72,64.16,38100,64.16
2014-06-06,64.25,64.77,64.03,64.50,38400,64.50
2014-06-05,62.71,64.23,61.93,64.20,48400,64.20
2014-06-04,61.75,62.57,61.75,62.27,34000,62.27
2014-06-03,62.37,62.75,61.63,62.08,24800,62.08
2014-06-02,62.22,62.75,61.87,62.49,33000,62.49
2014-05-30,62.83,62.84,61.71,62.31,36500,62.31
2014-05-29,62.60,63.00,62.11,62.59,21500,62.59
2014-05-28,62.72,62.89,61.60,62.13,26700,62.13
2014-05-27,61.78,63.18,61.26,63.04,36600,63.04
2014-05-23,61.68,62.01,60.90,61.78,33400,61.78
2014-05-22,61.34,61.80,60.97,61.42,23100,61.42
2014-05-21,61.69,61.75,60.40,61.36,27800,61.36
2014-05-20,61.91,62.46,60.76,61.56,44300,61.56
2014-05-19,61.97,62.46,61.72,62.09,35700,62.09
2014-05-16,61.36,61.91,60.56,61.81,27100,61.81
2014-05-15,60.57,61.49,60.53,61.36,38800,61.36
2014-05-14,62.48,62.48,60.62,61.01,49500,61.01
2014-05-13,62.00,62.10,61.11,61.25,36900,61.25
2014-05-12,60.38,62.40,60.14,62.04,57600,62.04
2014-05-09,58.53,59.99,58.53,59.90,26700,59.90
2014-05-08,58.10,59.79,58.10,58.88,49800,58.88
2014-05-07,56.50,57.14,56.05,57.00,26100,57.00
2014-05-06,56.74,57.00,56.09,56.33,40400,56.33
2014-05-05,55.91,57.10,55.51,56.78,36200,56.78
2014-05-02,56.78,57.80,56.31,56.48,37800,56.48
2014-05-01,56.69,57.12,56.10,56.78,45800,56.78
2014-04-30,56.80,57.30,55.99,56.97,38900,56.97
2014-04-29,55.82,58.35,54.48,57.13,48800,57.13
2014-04-28,57.45,57.55,54.35,55.26,78300,55.26
2014-04-25,58.51,58.51,57.05,57.28,52900,57.28
2014-04-24,58.94,59.34,58.40,58.92,16800,58.92
2014-04-23,59.28,59.86,58.70,58.78,31100,58.78
2014-04-22,58.44,59.47,58.44,59.29,19600,59.29
2014-04-21,58.38,58.75,58.17,58.48,15800,58.48
2014-04-17,58.24,58.72,57.76,58.49,18300,58.49
2014-04-16,58.60,59.23,57.85,58.24,21700,58.24
2014-04-15,58.94,59.35,57.56,58.08,44100,58.08
2014-04-14,59.81,59.81,58.07,58.67,33400,58.67
2014-04-11,58.78,60.72,58.76,59.08,41300,59.08
2014-04-10,59.87,59.96,58.85,59.42,39600,59.42
2014-04-09,60.04,60.08,58.55,59.97,20800,59.97
2014-04-08,59.76,60.30,59.18,59.68,36300,59.68
2014-04-07,60.23,60.37,59.24,59.62,72400,59.62
2014-04-04,62.06,62.38,60.19,60.62,29200,60.62
2014-04-03,61.96,61.96,61.32,61.70,20700,61.70
2014-04-02,61.53,62.14,61.21,61.82,34300,61.82
2014-04-01,61.32,61.68,60.54,61.53,45900,61.53
2014-03-31,60.85,61.75,60.47,61.39,34400,61.39
2014-03-28,60.40,61.25,60.15,60.32,14100,60.32
2014-03-27,60.65,60.67,59.82,60.47,16300,60.47
2014-03-26,62.00,62.00,60.43,60.43,49200,60.43
2014-03-25,61.39,61.87,61.26,61.60,22100,61.60
2014-03-24,61.65,62.09,60.71,61.69,32600,61.69
2014-03-21,62.12,62.50,61.30,61.31,62400,61.31
2014-03-20,61.77,62.37,61.44,61.80,14700,61.80
2014-03-19,62.12,62.29,61.16,61.67,23000,61.67
2014-03-18,61.90,62.50,61.69,62.36,24800,62.36
2014-03-17,61.38,61.95,61.15,61.76,33900,61.76
2014-03-14,60.51,61.48,60.47,61.01,24400,61.01
2014-03-13,61.50,61.50,60.47,60.79,27800,60.79
2014-03-12,60.51,61.61,60.03,61.27,101300,61.27
2014-03-11,61.99,62.52,60.55,61.02,36800,61.02
2014-03-10,61.01,61.86,60.91,61.72,32100,61.72
2014-03-07,61.53,61.53,60.94,61.32,12800,61.32
2014-03-06,61.17,62.05,60.63,61.25,13400,61.25
2014-03-05,61.19,61.47,60.65,61.26,17500,61.26
2014-03-04,60.37,61.77,59.20,61.19,57000,61.19
2014-03-03,59.83,60.30,59.22,59.51,48100,59.51
2014-02-28,60.88,61.28,60.37,60.62,24500,60.62
2014-02-27,60.47,60.88,59.80,60.66,29200,60.66
2014-02-26,60.01,60.88,59.91,60.47,19300,60.47
2014-02-25,60.78,61.04,59.89,60.20,34500,60.20
2014-02-24,61.39,61.82,60.74,60.85,28800,60.85
2014-02-21,61.39,61.75,60.64,61.09,49100,61.09
2014-02-20,60.64,61.19,60.07,60.98,32500,60.98
2014-02-19,61.46,61.88,60.15,60.38,36500,60.38
2014-02-18,61.56,62.51,61.01,61.70,67400,61.70
2014-02-14,60.98,61.95,58.00,61.30,104100,61.30
2014-02-13,59.37,61.06,59.37,60.76,63200,60.76
2014-02-12,59.60,59.90,58.80,59.83,53600,59.83
2014-02-11,58.82,59.98,58.04,59.29,30700,59.29
2014-02-10,58.91,58.92,57.70,58.55,26500,58.55
2014-02-07,58.67,59.19,57.91,58.91,44500,58.91
2014-02-06,58.63,58.79,58.25,58.41,45500,58.41
2014-02-05,59.00,59.24,58.56,58.66,30800,58.66
2014-02-04,58.81,59.25,57.82,59.00,64100,59.00
2014-02-03,59.72,60.11,58.35,58.42,81500,58.42
2014-01-31,59.41,60.22,58.90,59.63,77600,59.63
2014-01-30,59.14,60.15,58.42,59.65,54500,59.65
2014-01-29,58.94,59.81,58.26,58.70,41200,58.70
2014-01-28,59.25,59.80,58.61,59.47,158700,59.47
2014-01-27,59.60,59.98,59.07,59.13,37700,59.13
2014-01-24,60.31,60.31,57.80,59.70,99500,59.70
2014-01-23,61.90,61.94,59.86,60.57,66300,60.57
2014-01-22,62.24,62.24,61.50,61.98,27900,61.98
2014-01-21,61.94,62.22,61.16,61.96,54500,61.96
2014-01-17,62.70,63.07,61.59,61.93,35700,61.93
2014-01-16,63.43,64.29,62.15,62.58,62300,62.58
2014-01-15,63.27,63.84,63.02,63.59,43200,63.59
2014-01-14,63.68,63.79,62.81,62.96,41800,62.96
2014-01-13,63.06,63.57,62.61,63.11,75400,63.11
2014-01-10,63.08,63.44,62.52,63.16,67200,63.16
2014-01-09,62.42,63.20,62.28,62.89,90000,62.89
2014-01-08,62.50,62.90,61.78,62.03,44900,62.03
2014-01-07,62.96,63.49,62.43,62.50,39300,62.50
2014-01-06,63.04,63.70,62.43,62.56,60800,62.56
2014-01-03,62.68,62.95,62.00,62.60,103100,62.60
2014-01-02,63.00,63.14,62.43,62.59,56500,62.59
2013-12-31,63.22,64.21,62.98,63.16,33300,63.16
2013-12-30,62.45,63.41,62.45,62.97,39800,62.97
2013-12-27,62.72,63.20,62.00,62.56,22000,62.56
2013-12-26,62.64,62.95,62.40,62.47,23100,62.47
2013-12-24,62.19,62.71,62.19,62.58,14500,62.58
2013-12-23,61.81,62.35,61.10,61.65,34800,61.65
2013-12-20,60.04,62.08,60.04,61.81,237700,61.81
2013-12-19,59.94,60.71,59.26,60.05,38600,60.05
2013-12-18,59.44,59.78,58.63,59.61,28600,59.61
2013-12-17,60.15,60.15,59.00,59.29,33600,59.29
2013-12-16,60.35,60.44,59.64,59.98,61500,59.98
2013-12-13,60.30,60.53,59.87,59.93,42600,59.93
2013-12-12,61.08,61.16,60.13,60.32,56700,60.32
2013-12-11,62.58,62.58,60.60,61.16,39400,61.16
2013-12-10,63.00,63.28,61.63,62.30,48900,62.30
2013-12-09,64.11,65.00,62.96,63.11,60200,63.11
2013-12-06,64.07,64.40,63.59,63.68,41200,63.68
2013-12-05,63.86,64.00,63.29,63.45,28400,63.45
2013-12-04,63.99,64.73,63.41,63.99,23700,63.99
2013-12-03,64.87,65.55,64.30,64.41,75000,64.41
2013-12-02,67.02,67.29,65.00,65.14,48100,65.14
2013-11-29,67.23,67.56,66.69,66.84,12800,66.84
2013-11-27,65.50,66.86,65.44,66.71,60700,66.71
2013-11-26,65.37,65.81,65.19,65.51,50200,65.51
2013-11-25,65.00,65.54,64.79,65.37,70200,65.37
2013-11-22,64.59,64.89,63.97,64.84,37500,64.84
2013-11-21,63.84,64.64,63.24,64.39,30600,64.39
2013-11-20,63.35,63.90,62.20,63.36,25000,63.36
2013-11-19,63.20,63.36,62.57,62.94,33500,62.94
2013-11-18,62.71,63.10,62.15,62.98,41900,62.98
2013-11-15,61.89,62.54,61.57,62.34,111000,62.34
2013-11-14,61.81,62.33,61.24,61.99,22500,61.99
2013-11-13,61.32,61.92,60.46,61.75,41700,61.75
2013-11-12,62.08,62.36,61.07,61.53,20100,61.53
2013-11-11,61.04,63.52,60.93,62.09,35900,62.09
2013-11-08,58.75,62.57,58.49,61.19,101300,61.19
2013-11-07,57.09,57.24,56.61,57.18,51600,57.18
2013-11-06,57.06,57.66,56.57,56.86,57800,56.86
2013-11-05,57.14,57.30,56.84,56.88,33800,56.88
2013-11-04,57.25,57.64,56.85,57.17,40100,57.17
2013-11-01,56.15,57.00,55.83,56.90,89100,56.90
2013-10-31,56.99,56.99,56.23,56.24,77200,56.24
2013-10-30,57.38,57.39,56.74,56.77,45600,56.77
2013-10-29,57.26,57.47,57.02,57.25,34600,57.25
2013-10-28,57.08,57.18,56.70,56.95,38900,56.95
2013-10-25,57.17,57.77,56.02,56.88,18400,56.88
2013-10-24,56.94,57.06,56.50,56.93,19100,56.93
2013-10-23,57.01,57.16,56.79,56.87,29100,56.87
2013-10-22,56.86,57.38,56.86,57.12,67700,57.12
2013-10-21,56.10,57.31,56.10,56.68,97900,56.68
2013-10-18,56.18,56.50,55.58,56.20,102400,56.20
2013-10-17,55.54,56.12,55.28,55.62,53700,55.62
2013-10-16,56.42,56.48,55.45,55.61,27400,55.61
2013-10-15,56.52,56.72,55.81,55.96,56700,55.96
2013-10-14,55.28,56.78,55.28,56.40,28000,56.40
2013-10-11,55.07,55.52,54.79,55.36,148100,55.36
2013-10-10,55.29,56.12,54.75,55.03,51600,55.03
2013-10-09,55.57,55.57,54.28,54.63,53100,54.63
2013-10-08,56.18,56.40,55.43,55.56,40900,55.56
2013-10-07,56.68,56.85,56.21,56.30,29200,56.30
2013-10-04,56.71,57.61,56.71,57.10,19900,57.10
2013-10-03,57.62,57.62,56.65,56.77,16500,56.77
2013-10-02,57.70,58.47,57.25,57.70,24900,57.70
2013-10-01,58.00,58.42,57.28,58.13,53400,58.13
2013-09-30,57.58,58.28,57.30,57.77,51100,57.77
2013-09-27,57.94,58.14,57.56,57.98,53800,57.98
2013-09-26,58.10,58.66,57.99,58.24,28200,58.24
2013-09-25,58.34,58.34,57.85,58.15,27300,58.15
2013-09-24,58.73,59.01,57.79,58.28,29800,58.28
2013-09-23,58.23,58.72,58.00,58.62,20400,58.62
2013-09-20,57.79,58.49,57.79,58.46,59900,58.46
2013-09-19,58.08,58.42,57.42,57.81,19200,57.81
2013-09-18,57.30,58.36,56.96,57.78,15200,57.78
2013-09-17,56.81,57.47,56.39,57.47,41100,57.47
2013-09-16,57.47,57.47,56.61,56.95,30700,56.95
2013-09-13,56.78,56.85,56.32,56.72,4000,56.72
2013-09-12,56.60,56.64,56.21,56.55,54000,56.55
2013-09-11,55.97,56.65,55.77,56.60,21500,56.60
2013-09-10,55.56,56.39,55.49,56.24,28100,56.24
2013-09-09,55.09,55.84,54.94,55.75,15200,55.75
2013-09-06,55.57,55.57,54.47,55.17,11800,55.17
2013-09-05,55.49,55.76,55.02,55.42,9900,55.42
2013-09-04,55.60,55.68,55.00,55.30,30900,55.30
2013-09-03,55.19,57.00,55.04,55.51,34500,55.51
2013-08-30,54.92,55.28,54.12,54.73,44100,54.73
2013-08-29,54.57,55.43,54.57,55.10,13200,55.10
2013-08-28,54.79,54.88,54.52,54.65,28200,54.65
2013-08-27,54.41,55.00,53.73,54.70,40300,54.70
2013-08-26,54.87,55.32,54.68,55.19,57100,55.19
2013-08-23,55.97,55.97,54.37,54.87,25100,54.87
2013-08-22,55.05,55.99,54.58,55.71,9500,55.71
2013-08-21,55.76,55.93,54.95,55.07,19100,55.07
2013-08-20,55.78,56.21,54.79,55.75,34500,55.75
2013-08-19,54.68,56.15,54.60,55.66,52900,55.66
2013-08-16,55.56,56.18,55.43,56.00,49100,56.00
2013-08-15,55.84,56.18,55.62,55.92,65400,55.92
2013-08-14,56.40,56.80,54.19,56.31,21300,56.31
2013-08-13,56.49,58.59,55.91,56.45,21500,56.45
2013-08-12,56.49,57.00,56.27,56.63,23300,56.63
2013-08-09,56.55,56.84,56.27,56.66,18600,56.66
2013-08-08,57.49,57.49,53.58,56.51,55500,56.51
2013-08-07,57.45,57.71,56.77,57.00,14700,57.00
2013-08-06,58.04,58.04,56.78,57.41,21900,57.41
2013-08-05,58.25,58.25,57.78,58.09,27300,58.09
2013-08-02,58.01,58.53,57.67,58.39,34700,58.39
2013-08-01,58.35,58.99,57.81,58.33,73700,58.33
2013-07-31,58.53,58.81,56.88,57.96,46600,57.96
2013-07-30,59.36,59.36,58.12,58.25,11900,58.25
2013-07-29,59.25,59.84,58.93,58.98,33700,58.98
2013-07-26,59.38,59.52,57.80,59.17,26800,59.17
2013-07-25,59.51,59.92,59.46,59.83,31300,59.83
2013-07-24,60.19,60.19,59.42,59.60,17000,59.60
2013-07-23,61.02,61.02,59.65,59.89,23100,59.89
2013-07-22,60.99,60.99,60.50,60.66,23100,60.66
2013-07-19,60.91,61.26,60.62,60.99,19400,60.99
2013-07-18,61.08,61.46,60.39,61.08,40800,61.08
2013-07-17,60.92,61.50,60.35,60.78,21200,60.78
2013-07-16,59.31,60.77,58.92,60.64,21000,60.64
2013-07-15,60.63,61.00,58.81,59.10,63600,59.10
2013-07-12,60.03,60.72,59.65,60.42,22400,60.42
2013-07-11,60.00,60.19,59.09,60.18,32600,60.18
2013-07-10,59.70,59.91,59.34,59.71,22300,59.71
2013-07-09,59.21,59.71,59.09,59.70,22100,59.70
2013-07-08,58.49,59.10,58.49,59.08,17800,59.08
2013-07-05,58.26,58.26,57.36,58.22,39600,58.22
2013-07-03,57.36,57.75,57.31,57.66,5100,57.66
2013-07-02,57.47,57.84,56.88,57.50,20300,57.50
2013-07-01,57.09,57.82,56.80,57.56,28500,57.56
2013-06-28,56.54,57.47,56.10,57.04,169700,57.04
2013-06-27,56.55,56.71,56.23,56.51,35300,56.51
2013-06-26,57.06,57.31,56.09,56.36,16400,56.36
2013-06-25,56.36,57.01,55.89,56.73,32000,56.73
2013-06-24,55.30,56.57,54.13,56.01,57700,56.01
2013-06-21,56.15,56.20,54.18,55.78,75900,55.78
2013-06-20,57.18,57.49,55.80,56.02,17900,56.02
2013-06-19,59.30,59.30,57.39,57.77,23200,57.77
2013-06-18,58.79,59.69,58.66,59.24,22500,59.24
2013-06-17,58.60,59.18,58.04,58.54,22800,58.54
2013-06-14,59.62,59.62,58.12,58.44,14400,58.44
2013-06-13,58.08,59.97,57.94,59.86,41400,59.86
2013-06-12,59.30,59.30,57.78,57.89,12600,57.89
2013-06-11,59.39,59.52,58.10,58.82,38500,58.82
2013-06-10,59.52,59.72,58.61,59.52,15400,59.52
2013-06-07,58.97,59.67,58.45,59.18,18200,59.18
2013-06-06,57.94,59.27,57.80,58.84,44500,58.84
2013-06-05,58.27,59.00,57.38,58.39,41300,58.39
2013-06-04,59.25,59.25,57.99,58.29,69300,58.29
2013-06-03,57.80,59.34,57.53,59.27,71500,59.27
2013-05-31,59.12,59.68,58.24,58.32,71200,58.32
2013-05-30,59.46,59.64,59.01,59.40,34100,59.40
2013-05-29,59.56,59.56,58.06,59.11,32400,59.11
2013-05-28,59.44,60.47,59.43,59.85,29000,59.85
2013-05-24,58.39,59.19,58.25,59.05,13900,59.05
2013-05-23,58.05,58.86,57.01,58.74,53500,58.74
2013-05-22,59.78,60.52,58.00,58.24,23100,58.24
2013-05-21,61.25,61.25,59.75,59.90,22200,59.90
2013-05-20,61.83,62.02,60.88,61.10,22900,61.10
2013-05-17,61.00,61.89,60.70,61.84,43600,61.84
2013-05-16,61.01,61.98,60.10,60.96,36200,60.96
2013-05-15,59.06,61.59,59.01,61.22,39500,61.22
2013-05-14,58.40,59.73,58.18,59.36,35000,59.36
2013-05-13,58.85,58.99,58.34,58.40,32000,58.40
2013-05-10,59.38,59.38,58.42,58.85,35400,58.85
2013-05-09,59.20,59.82,59.20,59.23,15100,59.23
2013-05-08,58.88,59.30,58.49,59.30,17900,59.30
2013-05-07,58.25,59.17,57.59,58.83,14400,58.83
2013-05-06,58.28,58.40,57.99,58.27,33600,58.27
2013-05-03,58.04,60.18,56.92,58.40,58100,58.40
2013-05-02,58.16,58.27,57.64,58.10,27100,58.10
2013-05-01,57.80,58.32,57.15,57.80,59200,57.80
2013-04-30,57.15,57.94,57.04,57.88,23900,57.88
2013-04-29,57.05,57.36,56.85,57.12,23200,57.12
2013-04-26,57.06,57.37,56.57,57.00,28100,57.00
2013-04-25,57.27,57.27,56.67,56.89,10500,56.89
2013-04-24,55.99,57.33,55.89,57.29,16300,57.29
2013-04-23,55.91,56.31,55.56,56.16,13700,56.16
2013-04-22,57.30,57.30,54.73,55.45,28100,55.45
2013-04-19,56.19,56.85,56.10,56.84,18400,56.84
2013-04-18,57.16,57.16,55.82,56.20,12500,56.20
2013-04-17,58.45,58.45,56.34,56.92,28400,56.92
2013-04-16,58.94,59.50,57.96,58.51,21000,58.51
2013-04-15,59.62,60.29,58.13,58.60,43100,58.60
2013-04-12,59.33,60.09,59.16,59.43,24300,59.43
2013-04-11,59.07,59.71,58.96,59.26,14000,59.26
2013-04-10,58.43,59.31,58.10,58.95,35100,58.95
2013-04-09,57.91,58.62,57.12,58.09,31600,58.09
2013-04-08,57.92,58.13,57.52,57.86,5600,57.86
2013-04-05,57.14,58.00,57.14,57.63,21400,57.63
2013-04-04,57.74,58.12,57.15,57.95,8600,57.95
2013-04-03,58.50,58.89,57.40,57.51,23700,57.51
2013-04-02,58.73,59.68,58.08,58.26,20100,58.26
2013-04-01,58.58,58.97,57.52,58.31,43100,58.31
2013-03-28,58.66,59.04,58.40,58.75,22700,58.75
2013-03-27,58.08,58.70,57.99,58.43,24400,58.43
2013-03-26,58.36,58.37,57.75,58.20,13100,58.20
2013-03-25,57.66,58.32,57.42,58.21,17100,58.21
2013-03-22,57.46,57.55,56.90,57.35,39800,57.35
2013-03-21,57.20,57.88,56.87,57.29,43400,57.29
2013-03-20,57.73,57.93,55.07,57.58,25600,57.58
2013-03-19,56.69,57.53,56.67,57.32,18600,57.32
2013-03-18,57.00,57.24,56.42,56.58,20500,56.58
2013-03-15,57.00,58.47,56.97,57.12,108900,57.12
2013-03-14,56.70,57.00,56.68,57.00,69200,57.00
2013-03-13,56.47,57.33,56.11,56.45,47100,56.45
2013-03-12,57.06,57.93,56.32,56.71,16600,56.71
2013-03-11,57.10,57.75,56.56,57.19,47100,57.19
2013-03-08,57.51,57.80,56.66,57.05,66000,57.05
2013-03-07,56.76,57.50,56.44,57.12,33000,57.12
2013-03-06,56.90,57.00,56.19,56.92,18700,56.92
2013-03-05,56.88,57.25,56.39,56.61,68600,56.61
2013-03-04,55.79,56.87,55.74,56.49,19800,56.49
2013-03-01,55.67,56.21,55.63,56.05,49000,56.05
2013-02-28,55.81,56.66,55.81,56.16,35500,56.16
2013-02-27,56.30,56.30,55.66,56.03,13600,56.03
2013-02-26,56.17,56.87,55.56,56.27,28100,56.27
2013-02-25,57.10,57.46,55.69,55.83,21500,55.83
2013-02-22,57.14,57.14,56.74,56.93,25500,56.93
2013-02-21,56.63,57.29,56.01,56.78,12600,56.78
2013-02-20,58.36,58.48,56.66,56.78,30700,56.78
2013-02-19,57.68,58.40,57.68,58.12,18200,58.12
2013-02-15,58.62,58.62,57.00,57.57,43500,57.57
2013-02-14,56.24,59.50,56.24,58.01,26500,58.01
2013-02-13,55.00,55.27,54.81,55.27,11200,55.27
2013-02-12,54.13,54.99,54.00,54.87,10800,54.87
2013-02-11,53.95,54.18,53.79,54.05,34300,54.05
2013-02-08,54.21,54.28,53.87,53.90,6600,53.90
2013-02-07,53.93,54.63,53.50,54.22,19200,54.22
2013-02-06,53.48,54.05,53.00,54.00,12100,54.00
2013-02-05,53.95,54.08,53.44,53.56,14200,53.56
2013-02-04,54.34,54.42,53.55,53.58,20400,53.58
2013-02-01,54.33,54.80,54.04,54.46,19100,54.46
2013-01-31,53.50,54.46,53.43,54.23,27000,54.23
2013-01-30,53.63,53.78,53.22,53.40,34900,53.40
2013-01-29,53.58,54.05,53.20,53.85,30600,53.85
2013-01-28,53.43,53.43,52.74,53.11,45500,53.11
2013-01-25,53.98,53.98,53.11,53.50,39300,53.50
2013-01-24,54.11,54.40,53.52,53.72,58900,53.72
2013-01-23,55.00,55.03,53.71,53.88,23900,53.88
2013-01-22,54.89,55.05,54.24,54.95,34700,54.95
2013-01-18,54.11,54.79,53.54,54.57,44300,54.57
2013-01-17,54.10,54.88,53.84,54.05,30100,54.05
2013-01-16,53.61,54.33,53.39,53.94,19100,53.94
