Date,Open,High,Low,Close,Volume,Adj Close
2014-04-28,153.83,154.95,149.01,151.47,1317900,150.64
2014-04-25,154.55,155.01,152.97,153.09,732200,152.25
2014-04-24,154.37,154.89,152.25,154.61,888600,153.76
2014-04-23,155.17,155.70,153.79,153.84,700500,153.00
2014-04-22,154.91,155.86,154.01,154.86,1087100,154.01
2014-04-21,154.53,155.13,153.60,153.92,422300,153.08
2014-04-17,154.55,156.08,154.14,154.38,642900,153.53
2014-04-16,156.45,157.53,154.62,155.05,585100,154.20
2014-04-15,154.76,155.97,152.79,155.34,737800,154.49
2014-04-14,154.20,155.27,153.57,154.39,675300,153.54
2014-04-11,152.82,154.49,152.66,153.55,918000,152.71
2014-04-10,157.65,158.29,153.75,153.79,783500,152.95
2014-04-09,154.58,157.89,154.58,157.44,713000,156.58
2014-04-08,155.85,156.56,154.39,155.92,1298200,155.06
2014-04-07,158.32,158.75,154.51,155.58,1237100,154.73
2014-04-04,162.92,163.35,158.31,158.64,1011300,157.77
2014-04-03,164.17,164.67,161.99,162.68,654100,161.79
2014-04-02,163.77,164.75,162.73,163.41,774300,162.51
2014-04-01,161.10,163.72,160.99,163.72,954600,162.82
2014-03-31,159.78,161.21,159.06,160.93,867700,160.05
2014-03-28,157.36,159.18,157.09,158.24,734600,157.37
2014-03-27,156.24,158.53,156.24,156.98,760800,156.12
2014-03-26,157.50,160.24,156.48,156.48,1229300,155.62
2014-03-25,160.81,160.85,155.85,156.29,1477500,154.98
2014-03-24,161.43,162.26,158.82,160.01,864100,158.67
2014-03-21,162.12,163.00,160.13,161.04,1027000,159.69
2014-03-20,161.12,161.63,159.21,160.47,637600,159.13
2014-03-19,163.99,163.99,160.31,161.26,720800,159.91
2014-03-18,163.00,164.50,161.77,163.80,945600,162.43
2014-03-17,161.15,162.03,160.04,161.51,744800,160.16
2014-03-14,159.39,161.21,159.39,160.08,796400,158.74
2014-03-13,162.94,163.35,158.79,159.41,898900,158.08
2014-03-12,161.73,162.60,161.01,162.57,674900,161.21
2014-03-11,164.27,165.00,161.81,162.23,1341900,160.87
2014-03-10,163.85,164.38,162.17,164.29,1315200,162.92
2014-03-07,162.50,165.00,162.21,164.05,1026200,162.68
2014-03-06,161.63,162.26,160.69,162.16,1054800,160.81
2014-03-05,161.93,162.39,160.84,161.45,986900,160.10
2014-03-04,161.81,162.45,160.90,161.94,967600,160.59
2014-03-03,159.13,160.97,159.13,160.27,987600,158.93
2014-02-28,161.90,162.20,160.31,161.08,1202200,159.73
2014-02-27,160.15,161.81,159.91,161.79,2939000,160.44
2014-02-26,164.31,164.40,161.08,162.12,1473000,160.77
2014-02-25,159.21,160.57,157.85,159.99,779200,158.65
2014-02-24,157.65,161.33,157.65,159.27,1163600,157.94
2014-02-21,157.66,158.84,157.66,158.40,791500,157.08
2014-02-20,157.12,159.13,157.12,157.66,961300,156.34
2014-02-19,156.40,158.32,156.40,156.97,1049900,155.66
2014-02-18,158.60,158.96,156.18,157.15,863800,155.84
2014-02-14,154.56,159.97,154.56,158.39,1659600,157.07
2014-02-13,154.05,156.50,153.45,156.15,1253300,154.85
2014-02-12,157.34,157.93,154.26,154.50,1787700,153.21
2014-02-11,157.50,158.33,155.07,156.80,1382200,155.49
2014-02-10,155.70,156.32,154.55,155.25,1095700,153.95
2014-02-07,153.20,156.98,151.65,155.89,1941200,154.59
2014-02-06,150.02,154.33,149.67,152.23,2158400,150.96
2014-02-05,163.82,164.13,146.00,148.71,11478400,147.47
2014-02-04,154.30,157.24,153.70,154.18,1890100,152.89
2014-02-03,156.25,158.13,152.79,153.66,1161900,152.38
2014-01-31,156.18,158.18,155.70,156.89,788600,155.58
2014-01-30,157.20,159.49,157.06,158.23,927200,156.91
2014-01-29,155.90,157.06,155.30,155.51,951000,154.21
2014-01-28,157.35,158.17,156.13,156.74,840200,155.43
2014-01-27,157.53,158.54,156.04,156.95,874700,155.64
2014-01-24,157.83,159.78,156.34,157.62,1180300,156.30
2014-01-23,159.00,159.59,158.07,158.65,1075900,157.32
2014-01-22,160.66,161.45,159.31,159.86,886800,158.52
2014-01-21,162.74,164.08,160.69,160.90,877600,159.56
2014-01-17,163.23,164.16,162.23,162.49,1045400,161.13
2014-01-16,166.15,166.39,162.92,163.31,1753100,161.95
2014-01-15,168.12,170.04,167.06,168.08,632600,166.68
2014-01-14,167.24,169.14,166.94,167.47,870300,166.07
2014-01-13,173.58,174.16,166.69,167.50,992400,166.10
2014-01-10,172.82,175.13,172.57,173.95,550300,172.50
2014-01-09,173.25,173.26,170.46,172.88,649900,171.44
2014-01-08,175.33,176.14,171.83,172.32,736100,170.88
2014-01-07,175.02,175.57,174.25,175.40,466900,173.93
2014-01-06,177.53,177.53,174.50,174.68,637700,173.22
2014-01-03,175.75,178.59,175.37,177.19,665900,175.71
2014-01-02,175.44,176.88,174.93,175.37,750600,173.91
2013-12-31,175.91,177.20,175.60,176.57,330300,175.10
2013-12-30,175.69,176.89,175.67,176.34,257800,174.87
2013-12-27,176.04,176.62,175.21,175.97,286900,174.50
2013-12-26,176.36,176.78,175.42,175.97,274200,174.50
2013-12-24,175.00,176.86,174.89,176.03,320700,174.56
2013-12-23,175.54,175.99,174.22,174.87,504400,172.96
2013-12-20,175.74,176.41,174.94,175.05,657100,173.14
2013-12-19,178.37,178.37,175.02,175.14,651900,173.23
2013-12-18,174.87,177.25,172.67,177.09,818800,175.16
2013-12-17,175.30,175.33,173.50,174.35,646400,172.45
2013-12-16,175.42,176.87,174.26,175.56,829400,173.65
2013-12-13,173.02,175.35,173.02,175.19,1000700,173.28
2013-12-12,170.59,173.39,169.86,173.02,921200,171.13
2013-12-11,172.23,173.14,170.95,171.09,723200,169.22
2013-12-10,170.73,172.52,170.73,171.73,697100,169.86
2013-12-09,172.64,174.52,171.01,171.18,596700,169.31
2013-12-06,174.74,174.74,171.93,172.29,705800,170.41
2013-12-05,172.89,173.84,172.02,173.50,613200,171.61
2013-12-04,172.37,174.20,172.37,173.63,602100,171.74
2013-12-03,173.79,174.84,171.84,173.15,710900,171.26
2013-12-02,175.08,175.28,173.18,174.05,414000,172.15
2013-11-29,174.90,175.71,173.74,175.23,265300,173.32
2013-11-27,175.69,175.69,173.81,174.31,325300,172.41
2013-11-26,175.57,177.00,175.29,175.36,508000,173.45
2013-11-25,175.42,175.98,174.60,175.51,507200,173.60
2013-11-22,172.21,175.12,172.19,175.02,667100,173.11
2013-11-21,172.42,172.93,170.80,171.98,663400,170.10
2013-11-20,173.91,174.68,171.81,172.00,606000,170.12
2013-11-19,173.56,174.27,172.50,173.26,558300,171.37
2013-11-18,175.29,175.76,172.65,173.07,730900,171.18
2013-11-15,176.52,176.82,173.44,175.90,1162200,173.98
2013-11-14,175.40,176.70,174.80,176.67,831000,174.74
2013-11-13,171.97,176.37,171.97,176.07,1225400,174.15
2013-11-12,172.16,173.08,171.21,171.49,1194800,169.62
2013-11-11,173.40,173.50,171.80,172.53,1346500,170.65
2013-11-08,172.99,173.72,172.32,173.42,1034500,171.53
2013-11-07,180.25,181.07,172.43,172.81,2559200,170.93
2013-11-06,180.00,180.78,176.81,180.52,3249500,178.55
2013-11-05,169.71,173.32,169.61,171.19,1961700,169.32
2013-11-04,169.67,171.98,168.31,169.59,935400,167.74
2013-11-01,166.55,168.97,166.44,168.80,973200,166.96
2013-10-31,166.33,166.92,164.92,165.64,571500,163.83
2013-10-30,165.60,167.84,165.53,166.82,679900,165.00
2013-10-29,165.79,166.27,164.55,165.61,628200,163.80
2013-10-28,164.44,165.22,163.07,165.05,533000,163.25
2013-10-25,165.00,165.60,163.98,164.54,457900,162.75
2013-10-24,164.16,165.14,163.97,164.70,418600,162.90
2013-10-23,166.08,166.44,163.21,164.21,541100,162.42
2013-10-22,164.20,167.11,163.61,166.53,915500,164.71
2013-10-21,164.26,164.86,163.10,163.61,398500,161.83
2013-10-18,162.01,163.94,161.80,163.90,637400,162.11
2013-10-17,158.47,162.00,157.01,161.68,1353600,159.92
2013-10-16,159.18,159.75,157.57,158.68,1418900,156.95
2013-10-15,160.95,161.66,158.31,158.73,1922600,157.00
2013-10-14,160.94,162.41,160.31,161.10,654900,159.34
2013-10-11,163.65,164.10,161.26,161.34,750000,159.58
2013-10-10,165.38,165.38,163.40,163.64,717200,161.86
2013-10-09,159.82,164.10,159.35,162.40,1071100,160.63
2013-10-08,164.56,165.01,160.55,161.10,794800,159.34
2013-10-07,165.45,166.60,164.25,164.35,634400,162.56
2013-10-04,164.47,167.57,163.76,166.69,547700,164.87
2013-10-03,164.15,166.23,163.25,164.48,851300,162.69
2013-10-02,164.34,164.41,161.90,164.01,908500,162.22
2013-10-01,165.64,166.32,164.04,164.93,557600,163.13
2013-09-30,163.59,165.65,162.56,164.73,684500,162.93
2013-09-27,165.03,166.31,164.33,165.63,800200,163.82
2013-09-26,164.07,166.04,163.66,165.53,734100,163.72
2013-09-25,164.56,165.76,161.98,163.00,782700,161.22
2013-09-24,165.27,166.53,164.06,165.18,772400,162.98
2013-09-23,166.79,167.40,163.86,165.00,771200,162.81
2013-09-20,168.17,168.65,167.04,167.33,936600,165.10
2013-09-19,168.10,169.35,167.91,168.31,725700,166.07
2013-09-18,167.10,169.30,165.74,168.12,831800,165.88
2013-09-17,168.03,168.03,166.36,166.68,410900,164.46
2013-09-16,168.73,169.41,166.92,167.21,779700,164.99
2013-09-13,163.18,166.83,163.11,166.35,869400,164.14
2013-09-12,163.63,164.16,162.22,163.06,1233300,160.89
2013-09-11,164.13,164.60,163.00,163.90,1476400,161.72
2013-09-10,166.29,166.30,162.53,163.04,2242900,160.87
2013-09-09,165.48,166.27,165.13,165.74,1804800,163.54
2013-09-06,166.43,166.78,163.31,165.18,1293300,162.98
2013-09-05,166.04,167.49,165.46,166.00,680700,163.79
2013-09-04,167.25,168.00,166.58,166.67,1012200,164.45
2013-09-03,167.99,168.49,165.68,167.12,753800,164.90
2013-08-30,166.64,166.84,165.00,165.41,313400,163.21
2013-08-29,165.55,167.11,165.50,166.14,398800,163.93
2013-08-28,165.81,167.02,165.35,165.55,651600,163.35
2013-08-27,167.53,169.99,165.68,165.78,613900,163.58
2013-08-26,171.57,172.41,170.11,170.21,247200,167.95
2013-08-23,172.66,172.73,170.74,171.65,386200,169.37
2013-08-22,172.24,173.43,171.60,172.36,390800,170.07
2013-08-21,171.78,173.00,171.06,171.86,412700,169.57
2013-08-20,171.05,173.62,170.76,171.97,464500,169.68
2013-08-19,172.06,173.00,170.17,170.23,834600,167.97
2013-08-16,173.54,174.65,172.01,172.08,885500,169.79
2013-08-15,174.99,175.55,173.57,174.44,678800,172.12
2013-08-14,178.54,178.80,176.01,176.76,523500,174.41
2013-08-13,177.70,179.06,177.42,178.53,481500,176.16
2013-08-12,175.00,178.42,174.70,178.08,560900,175.71
2013-08-09,177.51,179.21,177.04,178.95,683100,176.57
2013-08-08,174.16,179.20,173.11,177.70,1546300,175.34
2013-08-07,177.06,180.76,172.01,173.13,3092900,170.83
2013-08-06,187.36,189.80,186.01,189.51,881400,186.99
2013-08-05,187.25,189.28,187.25,188.30,575100,185.80
2013-08-02,186.69,188.64,185.02,188.03,503200,185.53
2013-08-01,183.85,187.60,182.86,186.99,629300,184.50
2013-07-31,182.46,183.13,180.98,182.06,609800,179.64
2013-07-30,180.43,182.06,180.04,181.64,460100,179.22
2013-07-29,180.67,180.91,179.81,180.29,189700,177.89
2013-07-26,178.00,181.10,177.51,180.98,499700,178.57
2013-07-25,179.13,181.15,178.98,179.26,783000,176.88
2013-07-24,180.54,181.14,179.02,179.13,382000,176.75
2013-07-23,180.91,181.81,180.00,180.14,532400,177.74
2013-07-22,179.95,181.67,179.59,180.49,1008700,178.09
2013-07-19,179.88,179.88,178.24,179.22,595400,176.84
2013-07-18,178.53,180.00,178.22,179.98,1125300,177.59
2013-07-17,180.52,181.35,178.26,178.53,404300,176.16
2013-07-16,181.57,182.27,179.40,180.16,444800,177.76
2013-07-15,182.37,182.78,181.09,181.75,324200,179.33
2013-07-12,183.00,183.55,181.99,182.40,303500,179.97
2013-07-11,181.95,183.44,181.43,183.24,668800,180.80
2013-07-10,177.75,180.15,177.75,180.02,627600,177.63
2013-07-09,173.91,178.20,173.91,177.63,575100,175.27
2013-07-08,174.99,176.12,174.28,175.96,1203300,173.62
2013-07-05,173.85,174.88,172.32,174.03,1220500,171.72
2013-07-03,170.89,173.48,170.89,172.79,160500,170.49
2013-07-02,173.93,174.75,171.90,172.67,495900,170.37
2013-07-01,174.18,176.00,173.67,173.94,522400,171.63
2013-06-28,173.06,175.21,171.04,173.74,647700,171.43
2013-06-27,171.73,174.19,171.06,173.65,490500,171.34
2013-06-26,172.70,174.61,170.05,170.37,677900,168.10
2013-06-25,170.44,171.81,169.49,170.26,608000,167.60
2013-06-24,169.09,170.30,165.73,168.58,657900,165.95
2013-06-21,171.57,172.00,167.46,169.09,811400,166.45
2013-06-20,176.44,176.61,169.73,170.33,757700,167.67
2013-06-19,178.66,179.96,177.52,177.81,589200,175.03
2013-06-18,175.98,178.96,175.33,178.90,438500,176.11
2013-06-17,174.46,177.38,174.46,176.10,608700,173.35
2013-06-14,173.21,174.84,172.91,173.15,367100,170.45
2013-06-13,173.26,174.94,172.75,174.43,569100,171.71
2013-06-12,175.21,175.21,172.22,172.46,254800,169.77
2013-06-11,173.55,175.30,172.67,173.78,439300,171.07
2013-06-10,176.10,176.43,175.19,175.80,649800,173.05
2013-06-07,175.09,177.00,174.89,175.94,495900,173.19
2013-06-06,173.14,174.94,172.56,174.59,394600,171.86
2013-06-05,175.15,175.97,173.60,173.74,331600,171.03
2013-06-04,175.36,178.39,174.72,176.32,695100,173.57
2013-06-03,175.24,175.89,172.45,175.65,773800,172.91
2013-05-31,175.39,177.92,174.84,175.09,847700,172.36
2013-05-30,177.52,178.51,175.26,175.57,961200,172.83
2013-05-29,178.39,179.68,176.71,177.33,811100,174.56
2013-05-28,182.75,183.29,178.37,178.47,1091800,175.68
2013-05-24,182.64,183.20,180.10,180.97,1038600,178.14
2013-05-23,179.99,184.49,177.81,183.69,1439400,180.82
2013-05-22,189.28,192.03,187.91,188.06,1122500,185.12
2013-05-21,187.01,190.00,186.51,189.56,579800,186.60
2013-05-20,186.89,187.50,186.19,186.68,742100,183.76
2013-05-17,185.10,187.88,185.02,187.01,413000,184.09
2013-05-16,186.50,187.09,183.33,184.80,758200,181.91
2013-05-15,186.30,187.44,185.07,186.71,470400,183.79
2013-05-14,184.29,186.77,183.64,186.55,652800,183.64
2013-05-13,184.59,185.38,183.67,183.79,256500,180.92
2013-05-10,184.00,185.10,183.44,185.00,274500,182.11
2013-05-09,184.97,186.63,183.31,183.62,612700,180.75
2013-05-08,184.96,185.50,184.09,185.37,268300,182.47
2013-05-07,181.30,185.09,181.30,185.01,613200,182.12
2013-05-06,179.29,181.80,178.60,180.92,474300,178.09
2013-05-03,178.73,180.85,178.73,179.26,320300,176.46
2013-05-02,179.17,179.75,176.64,177.54,544100,174.77
2013-05-01,181.31,181.42,178.17,178.57,605300,175.78
2013-04-30,176.92,181.83,176.50,181.58,1117800,178.74
2013-04-29,175.72,177.34,174.57,177.00,589100,174.24
2013-04-26,174.97,175.71,173.85,175.60,349600,172.86
2013-04-25,171.88,176.08,171.88,175.38,501400,172.64
2013-04-24,171.07,171.95,169.86,171.44,494000,168.76
2013-04-23,167.51,171.12,167.51,170.75,865000,168.08
2013-04-22,169.01,169.46,165.38,165.93,779600,163.34
2013-04-19,168.24,169.96,167.97,169.14,446100,166.50
2013-04-18,168.95,169.05,166.34,167.35,381400,164.74
2013-04-17,169.81,169.91,167.34,168.57,514100,165.94
2013-04-16,172.00,172.30,169.21,171.28,391900,168.60
2013-04-15,173.26,174.91,170.76,170.85,602300,168.18
2013-04-12,174.22,174.69,172.33,174.02,350500,171.30
2013-04-11,172.99,175.94,172.51,174.99,426300,172.26
2013-04-10,170.68,173.15,170.23,172.60,280000,169.90
2013-04-09,169.65,170.82,168.82,170.08,264600,167.42
2013-04-08,168.52,169.87,167.50,169.60,293400,166.95
2013-04-05,166.89,169.20,165.33,168.73,481700,166.09
2013-04-04,168.70,169.64,168.31,169.62,313100,166.97
2013-04-03,168.38,170.47,167.35,168.73,676100,166.09
2013-04-02,167.02,169.02,166.90,167.93,559700,165.31
2013-04-01,169.12,169.60,166.29,166.75,748400,164.15
2013-03-28,169.27,169.60,167.91,169.31,558800,166.67
2013-03-27,166.97,170.03,165.91,169.71,725700,167.06
2013-03-26,167.42,167.90,165.87,167.57,538100,164.95
2013-03-25,168.86,169.33,165.90,167.44,751900,164.43
2013-03-22,169.72,170.49,167.64,168.41,706200,165.38
2013-03-21,169.15,170.71,168.23,168.59,644200,165.56
2013-03-20,168.55,171.11,167.28,170.51,883200,167.45
2013-03-19,169.66,170.26,165.77,167.20,772500,164.20
2013-03-18,169.67,171.28,168.87,169.22,700600,166.18
2013-03-15,172.32,174.29,171.19,171.30,625100,168.22
2013-03-14,173.66,174.22,172.61,173.16,671700,170.05
2013-03-13,175.07,175.57,172.65,173.03,879100,169.92
2013-03-12,175.85,176.58,174.35,174.41,426900,171.28
2013-03-11,176.87,177.44,176.29,176.50,451700,173.33
2013-03-08,178.00,178.00,176.27,177.46,319600,174.27
2013-03-07,177.81,178.69,176.78,177.18,603000,174.00
2013-03-06,176.43,178.38,176.43,177.42,606400,174.23
2013-03-05,175.00,177.21,174.51,177.09,630300,173.91
2013-03-04,173.23,174.81,172.76,174.40,670000,171.27
2013-03-01,172.55,174.65,171.63,174.17,685200,171.04
2013-02-28,173.09,174.79,172.11,173.47,503100,170.35
2013-02-27,170.53,173.77,170.38,173.31,483100,170.20
2013-02-26,170.08,172.64,168.47,170.12,585200,167.06
2013-02-25,171.96,173.78,168.87,168.88,617200,165.85
2013-02-22,170.88,172.18,170.36,171.12,614100,168.05
2013-02-21,172.49,173.06,170.11,170.62,567100,167.55
2013-02-20,176.07,176.98,173.27,173.51,618700,170.39
2013-02-19,176.29,177.62,175.56,177.04,633600,173.86
2013-02-15,175.82,177.44,175.12,176.07,903900,172.91
2013-02-14,175.32,175.41,173.23,174.86,835300,171.72
2013-02-13,176.99,177.76,175.32,175.63,557800,172.47
2013-02-12,177.36,178.34,176.53,176.79,522200,173.61
2013-02-11,177.50,178.45,176.20,177.01,893000,173.83
2013-02-08,176.74,179.11,176.66,177.56,1457000,174.37
2013-02-07,174.14,178.10,173.16,178.06,1681000,174.86
2013-02-06,175.01,179.90,173.99,174.63,3722100,171.49
2013-02-05,162.86,165.15,162.86,164.91,1487700,161.95
2013-02-04,161.60,164.46,160.71,162.38,1039400,159.46
2013-02-01,165.79,167.20,161.06,161.54,2181600,158.64
2013-01-31,165.40,166.94,163.76,166.48,1413600,163.49
2013-01-30,167.80,168.10,166.42,167.42,987700,164.41
2013-01-29,168.50,168.71,166.71,167.95,603300,164.93
2013-01-28,169.98,170.13,168.02,168.83,566600,165.80
2013-01-25,164.84,170.32,164.84,170.08,952900,167.02
2013-01-24,164.56,165.89,163.79,165.38,738200,162.41
2013-01-23,161.96,164.48,160.91,164.19,1494100,161.24
