Date,Open,High,Low,Close,Volume,Adj Close
2014-08-18,2.91,2.95,2.86,2.88,22300,2.88
2014-08-15,2.82,2.90,2.78,2.82,28800,2.82
2014-08-14,2.86,3.03,2.82,2.82,21900,2.82
2014-08-13,2.90,3.02,2.82,2.98,56600,2.98
2014-08-12,2.85,3.12,2.67,2.88,250200,2.88
2014-08-11,2.37,2.47,2.37,2.45,25900,2.45
2014-08-08,2.40,2.48,2.39,2.39,37900,2.39
2014-08-07,2.35,2.45,2.34,2.40,40000,2.40
2014-08-06,2.35,2.38,2.34,2.34,30400,2.34
2014-08-05,2.38,2.38,2.32,2.35,37200,2.35
2014-08-04,2.37,2.39,2.36,2.37,18000,2.37
2014-08-01,2.35,2.42,2.35,2.37,62400,2.37
2014-07-31,2.44,2.44,2.36,2.36,87400,2.36
2014-07-30,2.52,2.52,2.39,2.44,26600,2.44
2014-07-29,2.44,2.53,2.35,2.53,53200,2.53
2014-07-28,2.54,2.54,2.35,2.48,72400,2.48
2014-07-25,2.60,2.61,2.52,2.54,78000,2.54
2014-07-24,2.63,2.65,2.60,2.63,12800,2.63
2014-07-23,2.69,2.70,2.63,2.65,35700,2.65
2014-07-22,2.70,2.70,2.62,2.66,4900,2.66
2014-07-21,2.65,2.71,2.61,2.69,167700,2.69
2014-07-18,2.66,2.73,2.66,2.70,8800,2.70
2014-07-17,2.69,2.73,2.66,2.67,7700,2.67
2014-07-16,2.60,2.74,2.60,2.73,36300,2.73
2014-07-15,2.66,2.66,2.60,2.62,11400,2.62
2014-07-14,2.61,2.63,2.60,2.61,32000,2.61
2014-07-11,2.63,2.68,2.63,2.63,7500,2.63
2014-07-10,2.63,2.70,2.62,2.64,16900,2.64
2014-07-09,2.73,2.76,2.66,2.67,13900,2.67
2014-07-08,2.71,2.76,2.61,2.61,26900,2.61
2014-07-07,2.81,2.81,2.70,2.77,18200,2.77
2014-07-03,2.70,2.82,2.69,2.82,8200,2.82
2014-07-02,2.66,2.73,2.65,2.72,26000,2.72
2014-07-01,2.68,2.84,2.63,2.65,186800,2.65
2014-06-30,2.71,2.73,2.68,2.68,43100,2.68
2014-06-27,2.71,2.75,2.67,2.75,22000,2.75
2014-06-26,2.70,2.76,2.68,2.73,29400,2.73
2014-06-25,2.68,2.74,2.66,2.70,15700,2.70
2014-06-24,2.76,2.76,2.63,2.67,21800,2.67
2014-06-23,2.78,2.80,2.74,2.79,3100,2.79
2014-06-20,2.68,2.80,2.68,2.80,25200,2.80
2014-06-19,2.69,2.79,2.67,2.72,16600,2.72
2014-06-18,2.67,2.77,2.67,2.71,43300,2.71
2014-06-17,2.83,2.89,2.71,2.73,31200,2.73
2014-06-16,2.81,2.84,2.57,2.79,677100,2.79
2014-06-13,2.88,2.95,2.70,2.95,153300,2.95
2014-06-12,3.00,3.00,2.82,2.91,42900,2.91
2014-06-11,3.01,3.03,2.97,2.97,5600,2.97
2014-06-10,2.90,3.03,2.90,2.95,39200,2.95
2014-06-09,2.94,3.04,2.90,2.96,23300,2.96
2014-06-06,2.86,2.98,2.86,2.91,13900,2.91
2014-06-05,2.89,2.89,2.82,2.87,30200,2.87
2014-06-04,2.86,2.92,2.80,2.84,184700,2.84
2014-06-03,3.00,3.04,2.83,2.93,78400,2.93
2014-06-02,2.95,3.02,2.72,2.74,45700,2.74
2014-05-30,2.83,2.94,2.83,2.91,15800,2.91
2014-05-29,2.88,2.98,2.82,2.87,91500,2.87
2014-05-28,2.90,2.90,2.86,2.90,6900,2.90
2014-05-27,2.82,2.95,2.81,2.92,27500,2.92
2014-05-23,2.88,2.90,2.81,2.85,12600,2.85
2014-05-22,2.92,2.92,2.68,2.84,86700,2.84
2014-05-21,3.03,3.03,2.81,2.89,22400,2.89
2014-05-20,2.86,2.98,2.85,2.98,45500,2.98
2014-05-19,2.99,2.99,2.87,2.92,67000,2.92
2014-05-16,3.30,3.36,2.90,2.97,51600,2.97
2014-05-15,3.20,3.33,3.05,3.24,44100,3.24
2014-05-14,3.29,3.33,3.22,3.26,16400,3.26
2014-05-13,3.27,3.34,3.09,3.21,65400,3.21
2014-05-12,3.28,3.30,3.25,3.30,40600,3.30
2014-05-09,3.35,3.35,3.23,3.29,18300,3.29
2014-05-08,3.27,3.36,3.25,3.28,30100,3.28
2014-05-07,3.34,3.34,3.25,3.31,43500,3.31
2014-05-06,3.28,3.36,3.26,3.28,24400,3.28
2014-05-05,3.26,3.33,3.25,3.31,27300,3.31
2014-05-02,3.35,3.37,3.27,3.27,17900,3.27
2014-05-01,3.25,3.32,3.25,3.26,52400,3.26
2014-04-30,3.30,3.48,3.25,3.48,16500,3.48
2014-04-29,3.37,3.37,3.29,3.31,3000,3.31
2014-04-28,3.40,3.42,3.28,3.31,12100,3.31
2014-04-25,3.32,3.40,3.26,3.40,20800,3.40
2014-04-24,3.61,3.61,3.30,3.37,21100,3.37
2014-04-23,3.58,3.61,3.27,3.36,60300,3.36
2014-04-22,3.33,3.53,3.27,3.36,79300,3.36
2014-04-21,3.37,3.56,3.26,3.31,25900,3.31
2014-04-17,3.29,3.48,3.29,3.37,25700,3.37
2014-04-16,3.25,3.39,3.20,3.26,38700,3.26
2014-04-15,3.32,3.58,3.26,3.26,13200,3.26
2014-04-14,3.17,3.77,3.17,3.33,34600,3.33
2014-04-11,3.49,3.56,3.12,3.21,55200,3.21
2014-04-10,3.89,3.89,3.48,3.53,122200,3.53
2014-04-09,3.73,3.94,3.71,3.83,8100,3.83
2014-04-08,3.84,4.00,3.72,3.84,37600,3.84
2014-04-07,3.87,3.96,3.80,3.85,9100,3.85
2014-04-04,3.86,4.05,3.85,3.85,239700,3.85
2014-04-03,3.87,3.95,3.74,3.87,50500,3.87
2014-04-02,3.77,3.94,3.65,3.81,20200,3.81
2014-04-01,3.72,3.95,3.60,3.67,29600,3.67
2014-03-31,3.69,3.95,3.52,3.63,41500,3.63
2014-03-28,3.59,3.76,3.59,3.62,22000,3.62
2014-03-27,3.51,3.73,3.51,3.61,33000,3.61
2014-03-26,3.60,3.68,3.51,3.53,28300,3.53
2014-03-25,3.66,3.68,3.60,3.60,10100,3.60
2014-03-24,3.83,3.83,3.61,3.63,34400,3.63
2014-03-21,3.79,3.94,3.73,3.85,12900,3.85
2014-03-20,3.82,3.91,3.73,3.85,19700,3.85
2014-03-19,3.85,3.92,3.80,3.82,12200,3.82
2014-03-18,3.83,3.95,3.71,3.87,10000,3.87
2014-03-17,3.78,3.84,3.77,3.84,14400,3.84
2014-03-14,3.88,4.00,3.79,3.80,85300,3.80
2014-03-13,3.94,3.94,3.84,3.90,13200,3.90
2014-03-12,3.90,4.03,3.89,3.95,15000,3.95
2014-03-11,3.76,4.04,3.76,3.89,68900,3.89
2014-03-10,3.70,3.83,3.70,3.76,34600,3.76
2014-03-07,3.87,3.90,3.66,3.74,103100,3.74
2014-03-06,3.93,3.95,3.85,3.86,31700,3.86
2014-03-05,4.01,4.03,3.82,3.95,41300,3.95
2014-03-04,4.12,4.13,3.96,3.98,48400,3.98
2014-03-03,4.06,4.15,3.84,4.11,64800,4.11
2014-02-28,4.08,4.18,3.94,4.12,62400,4.12
2014-02-27,4.26,4.31,3.91,4.12,163100,4.12
2014-02-26,4.25,4.54,4.19,4.27,116200,4.27
2014-02-25,4.30,4.42,4.30,4.35,38100,4.35
2014-02-24,4.31,4.35,4.30,4.33,62600,4.33
2014-02-21,4.30,4.45,4.25,4.35,133700,4.35
2014-02-20,4.30,4.36,4.25,4.33,56200,4.33
2014-02-19,4.40,4.40,4.19,4.27,46100,4.27
2014-02-18,4.50,4.50,4.26,4.40,27200,4.40
2014-02-14,4.49,4.50,4.40,4.46,27300,4.46
2014-02-13,4.41,4.49,4.30,4.43,18000,4.43
2014-02-12,4.54,4.54,4.30,4.45,54900,4.45
2014-02-11,4.67,4.70,4.47,4.51,427100,4.51
2014-02-10,4.33,4.61,4.12,4.53,149900,4.53
2014-02-07,4.22,4.36,4.14,4.31,26300,4.31
2014-02-06,4.16,4.34,4.10,4.22,46600,4.22
2014-02-05,4.41,4.41,3.75,4.10,173000,4.10
2014-02-04,4.45,4.68,4.39,4.39,53900,4.39
2014-02-03,4.45,4.55,4.41,4.42,67700,4.42
2014-01-31,4.43,4.60,4.38,4.52,36700,4.52
2014-01-30,4.27,4.47,4.23,4.43,39200,4.43
2014-01-29,4.65,4.88,4.16,4.27,239600,4.27
2014-01-28,4.47,4.85,4.39,4.58,245100,4.58
2014-01-27,4.42,4.52,3.75,4.47,544100,4.47
2014-01-24,3.75,5.40,3.75,4.49,2077200,4.49
2014-01-23,3.53,3.65,3.39,3.50,46700,3.50
2014-01-22,3.48,3.64,3.39,3.50,40500,3.50
2014-01-21,3.60,3.68,3.41,3.47,52500,3.47
2014-01-17,3.49,3.71,3.49,3.62,79200,3.62
2014-01-16,3.44,3.57,3.40,3.50,25800,3.50
2014-01-15,3.51,3.52,3.40,3.41,27000,3.41
2014-01-14,3.53,3.60,3.30,3.53,59200,3.53
2014-01-13,3.40,3.54,3.40,3.40,13200,3.40
2014-01-10,3.16,3.51,3.16,3.43,86100,3.43
2014-01-09,3.07,3.25,3.00,3.00,35500,3.00
2014-01-08,3.06,3.17,3.06,3.12,10200,3.12
2014-01-07,3.06,3.08,3.03,3.03,8400,3.03
2014-01-06,3.15,3.15,2.82,3.07,15500,3.07
2014-01-03,2.85,3.15,2.77,3.11,46500,3.11
2014-01-02,2.76,2.83,2.64,2.75,25400,2.75
2013-12-31,2.63,2.82,2.55,2.73,64100,2.73
2013-12-30,2.60,2.66,2.55,2.64,55500,2.64
2013-12-27,2.61,2.66,2.53,2.66,64300,2.66
2013-12-26,2.66,2.66,2.60,2.62,15700,2.62
2013-12-24,2.62,2.64,2.60,2.63,30800,2.63
2013-12-23,2.85,2.85,2.61,2.61,37400,2.61
2013-12-20,2.61,2.70,2.43,2.63,32200,2.63
2013-12-19,2.61,2.66,2.61,2.62,27800,2.62
2013-12-18,2.62,2.70,2.61,2.66,14100,2.66
2013-12-17,2.67,2.70,2.63,2.65,29300,2.65
2013-12-16,2.71,2.73,2.62,2.66,12800,2.66
2013-12-13,2.75,2.75,2.63,2.70,52300,2.70
2013-12-12,2.75,2.79,2.70,2.79,30400,2.79
2013-12-11,2.61,2.84,2.52,2.77,80900,2.77
2013-12-10,2.72,2.76,2.45,2.58,306300,2.58
2013-12-09,2.89,2.89,2.72,2.75,65600,2.75
2013-12-06,3.13,3.15,2.61,2.79,429300,2.79
2013-12-05,3.15,3.15,3.06,3.09,61100,3.09
2013-12-04,3.05,3.15,3.05,3.09,23600,3.09
2013-12-03,3.13,3.20,3.06,3.14,22500,3.14
2013-12-02,3.17,3.19,3.05,3.15,28000,3.15
2013-11-29,3.16,3.16,3.08,3.08,1400,3.08
2013-11-27,3.08,3.13,3.08,3.13,10500,3.13
2013-11-26,3.02,3.15,3.02,3.14,27100,3.14
2013-11-25,3.17,3.17,3.01,3.13,2800,3.13
2013-11-22,3.00,3.17,3.00,3.17,53600,3.17
2013-11-21,3.11,3.17,3.10,3.17,35500,3.17
2013-11-20,3.02,3.15,3.02,3.15,38500,3.15
2013-11-19,3.04,3.07,3.00,3.02,30500,3.02
2013-11-18,3.12,3.15,3.05,3.12,25600,3.12
2013-11-15,3.05,3.17,3.05,3.12,8300,3.12
2013-11-14,3.07,3.15,3.07,3.08,4200,3.08
2013-11-13,3.12,3.18,3.12,3.17,2800,3.17
2013-11-12,3.15,3.18,3.05,3.08,31700,3.08
2013-11-11,3.15,3.15,3.09,3.12,27500,3.12
2013-11-08,3.06,3.18,3.06,3.08,18700,3.08
2013-11-07,3.02,3.12,3.00,3.11,10600,3.11
2013-11-06,3.11,3.15,3.00,3.07,14100,3.07
2013-11-05,3.16,3.19,3.06,3.14,12400,3.14
2013-11-04,3.04,3.19,3.04,3.13,14300,3.13
2013-11-01,3.07,3.20,3.00,3.01,48000,3.01
2013-10-31,3.09,3.25,3.03,3.03,15500,3.03
2013-10-30,3.32,3.32,3.10,3.12,61300,3.12
2013-10-29,3.06,3.43,3.06,3.30,96800,3.30
2013-10-28,3.16,3.17,3.02,3.05,43700,3.05
2013-10-25,3.35,3.60,3.09,3.19,93100,3.19
2013-10-24,3.42,3.58,3.33,3.58,55900,3.58
2013-10-23,3.42,3.59,3.25,3.58,50700,3.58
2013-10-22,3.39,3.45,3.33,3.45,4300,3.45
2013-10-21,3.32,3.43,3.21,3.42,19400,3.42
2013-10-18,3.30,3.46,3.25,3.32,54900,3.32
2013-10-17,3.05,3.30,3.05,3.30,49000,3.30
2013-10-16,3.06,3.18,3.06,3.18,20800,3.18
2013-10-15,3.18,3.21,3.02,3.08,45300,3.08
2013-10-14,3.13,3.26,3.10,3.19,14400,3.19
2013-10-11,3.21,3.29,3.10,3.16,69600,3.16
2013-10-10,3.30,3.34,3.14,3.22,19500,3.22
2013-10-09,3.12,3.30,3.10,3.30,30500,3.30
2013-10-08,3.30,3.32,3.13,3.15,36200,3.15
2013-10-07,3.23,3.35,3.23,3.29,8700,3.29
2013-10-04,3.18,3.35,3.18,3.25,5800,3.25
2013-10-03,3.25,3.25,3.16,3.21,12700,3.21
2013-10-02,3.34,3.35,3.26,3.27,4300,3.27
2013-10-01,3.29,3.37,3.25,3.25,12600,3.25
2013-09-30,3.32,3.42,3.16,3.31,10900,3.31
2013-09-27,3.38,3.44,3.17,3.31,23400,3.31
2013-09-26,3.23,3.46,3.21,3.44,41700,3.44
2013-09-25,3.25,3.40,3.24,3.39,21900,3.39
2013-09-24,3.45,3.45,3.17,3.17,19000,3.17
2013-09-23,3.31,3.36,3.04,3.15,59800,3.15
2013-09-20,3.39,3.46,3.34,3.46,22300,3.46
2013-09-19,3.26,3.45,3.26,3.37,31600,3.37
2013-09-18,3.40,3.45,3.34,3.42,55200,3.42
2013-09-17,3.35,3.48,3.24,3.46,42900,3.46
2013-09-16,3.38,3.43,3.16,3.40,44500,3.40
2013-09-13,3.47,3.47,3.32,3.40,43900,3.40
2013-09-12,3.34,3.47,3.34,3.46,172700,3.46
2013-09-11,3.31,3.37,3.31,3.37,10100,3.37
2013-09-10,3.44,3.44,3.27,3.37,66500,3.37
2013-09-09,3.46,3.47,3.27,3.44,92600,3.44
2013-09-06,3.54,3.60,3.40,3.52,62900,3.52
2013-09-05,3.46,3.75,3.45,3.63,50900,3.63
2013-09-04,3.84,3.87,3.67,3.67,103700,3.67
2013-09-03,3.69,3.85,3.50,3.83,183200,3.83
2013-08-30,3.44,3.65,3.44,3.62,26900,3.62
2013-08-29,3.65,3.65,3.40,3.56,160500,3.56
2013-08-28,3.27,3.68,3.27,3.58,66000,3.58
2013-08-27,3.35,3.47,3.21,3.30,105300,3.30
2013-08-26,3.09,3.49,2.87,3.37,115800,3.37
2013-08-23,3.04,3.23,3.03,3.12,55500,3.12
2013-08-22,2.93,3.00,2.80,3.00,9200,3.00
2013-08-21,2.77,2.98,2.70,2.92,179900,2.92
2013-08-20,2.84,2.89,2.81,2.85,22000,2.85
2013-08-19,2.71,2.90,2.71,2.84,45800,2.84
2013-08-16,2.84,2.93,2.70,2.87,51200,2.87
2013-08-15,2.77,2.95,2.77,2.89,27200,2.89
2013-08-14,2.85,3.04,2.80,2.89,70100,2.89
2013-08-13,2.86,3.02,2.81,2.88,87200,2.88
2013-08-12,3.05,3.05,2.78,2.97,48600,2.97
2013-08-09,2.73,3.14,2.56,3.00,111300,3.00
2013-08-08,2.71,2.74,2.63,2.66,12000,2.66
2013-08-07,2.84,2.85,2.70,2.80,42900,2.80
2013-08-06,2.57,2.86,2.56,2.84,120800,2.84
2013-08-05,2.68,2.75,2.57,2.63,42800,2.63
2013-08-02,2.25,2.71,2.21,2.63,232600,2.63
2013-08-01,2.25,2.30,2.24,2.25,107000,2.25
2013-07-31,2.28,2.30,2.21,2.25,17900,2.25
2013-07-30,2.15,2.26,2.15,2.25,38200,2.25
2013-07-29,2.36,2.36,2.20,2.23,32200,2.23
2013-07-26,2.30,2.33,2.15,2.30,41700,2.30
2013-07-25,2.20,2.36,2.20,2.32,49600,2.32
2013-07-24,2.40,2.50,2.20,2.25,176700,2.25
2013-07-23,1.82,2.57,1.82,2.34,680000,2.34
2013-07-22,1.75,1.86,1.70,1.72,142000,1.72
2013-07-19,2.10,2.10,1.72,1.74,53500,1.74
2013-07-18,1.96,2.03,1.79,1.88,81900,1.88
2013-07-17,1.90,2.03,1.90,1.91,101500,1.91
2013-07-16,1.76,1.99,1.76,1.94,157800,1.94
2013-07-15,1.72,1.80,1.72,1.76,42400,1.76
2013-07-12,1.79,1.88,1.69,1.72,53600,1.72
2013-07-11,1.93,1.95,1.75,1.78,127000,1.78
2013-07-10,1.97,1.97,1.84,1.91,101300,1.91
2013-07-09,2.12,2.12,1.85,1.91,268800,1.91
2013-07-08,2.15,2.16,2.12,2.12,31200,2.12
2013-07-05,2.20,2.20,2.16,2.16,2800,2.16
2013-07-03,2.19,2.20,2.11,2.15,11300,2.15
2013-07-02,2.14,2.14,2.04,2.14,36300,2.14
2013-07-01,2.04,2.19,2.02,2.02,19900,2.02
2013-06-28,2.01,2.14,2.00,2.07,68000,2.07
2013-06-27,2.12,2.15,2.00,2.00,69000,2.00
2013-06-26,2.17,2.26,2.08,2.12,90700,2.12
2013-06-25,2.04,2.18,2.04,2.17,37700,2.17
2013-06-24,2.04,2.11,2.02,2.03,34500,2.03
2013-06-21,2.06,2.18,2.04,2.05,34600,2.05
2013-06-20,2.10,2.19,2.05,2.07,20000,2.07
2013-06-19,2.08,2.16,2.07,2.11,22900,2.11
2013-06-18,2.10,2.22,2.07,2.15,54700,2.15
2013-06-17,2.21,2.26,2.15,2.19,64400,2.19
2013-06-14,2.35,2.35,2.12,2.22,242000,2.22
2013-06-13,2.54,2.54,2.43,2.48,4600,2.48
2013-06-12,2.40,2.55,2.40,2.51,24000,2.51
2013-06-11,2.44,2.47,2.41,2.42,14500,2.42
2013-06-10,2.46,2.48,2.37,2.48,24300,2.48
2013-06-07,2.30,2.48,2.26,2.43,210100,2.43
2013-06-06,2.31,2.41,2.25,2.28,32700,2.28
2013-06-05,2.54,2.54,2.29,2.32,52400,2.32
2013-06-04,2.64,2.77,2.44,2.51,26800,2.51
2013-06-03,2.85,2.86,2.50,2.61,162300,2.61
2013-05-31,2.41,2.95,2.40,2.65,467600,2.65
2013-05-30,2.20,2.25,2.18,2.23,48700,2.23
2013-05-29,2.31,2.31,2.10,2.20,63400,2.20
2013-05-28,2.16,2.20,2.06,2.14,35800,2.14
2013-05-24,2.12,2.22,2.08,2.19,81500,2.19
2013-05-23,2.19,2.22,2.10,2.20,12700,2.20
2013-05-22,2.14,2.25,2.14,2.18,9600,2.18
2013-05-21,2.16,2.25,2.15,2.18,11100,2.18
2013-05-20,2.15,2.28,2.01,2.07,30300,2.07
2013-05-17,2.10,2.20,2.10,2.11,17600,2.11
2013-05-16,2.10,2.20,2.10,2.20,23600,2.20
2013-05-15,2.19,2.35,1.90,2.13,78000,2.13
2013-05-14,2.46,2.63,2.16,2.17,47700,2.17
2013-05-13,2.50,2.55,2.34,2.34,273400,2.34
2013-05-10,2.35,2.63,2.32,2.48,30500,2.48
2013-05-09,2.43,2.46,2.35,2.39,8400,2.39
2013-05-08,2.41,2.47,2.26,2.47,18900,2.47
2013-05-07,2.50,2.50,2.28,2.42,25100,2.42
2013-05-06,2.49,2.50,2.44,2.49,5700,2.49
2013-05-03,2.45,2.49,2.36,2.48,20400,2.48
2013-05-02,2.33,2.47,2.23,2.45,21700,2.45
2013-05-01,2.52,2.52,2.37,2.37,400,2.37
2013-04-30,2.63,2.69,2.49,2.49,14000,2.49
2013-04-29,2.38,2.69,2.32,2.67,52800,2.67
2013-04-26,2.23,2.50,2.13,2.49,47200,2.49
2013-04-25,2.18,2.35,2.18,2.30,6700,2.30
2013-04-24,2.21,2.21,2.18,2.20,10600,2.20
2013-04-23,2.23,2.27,2.20,2.23,13400,2.23
2013-04-22,2.31,2.31,2.14,2.20,8700,2.20
2013-04-19,2.26,2.31,2.22,2.26,3500,2.26
2013-04-18,2.28,2.28,2.15,2.22,4600,2.22
2013-04-17,2.13,2.27,2.08,2.25,26900,2.25
2013-04-16,2.07,2.25,2.07,2.13,2900,2.13
2013-04-15,2.02,2.11,1.95,2.08,63500,2.08
2013-04-12,2.19,2.19,2.02,2.11,10600,2.11
2013-04-11,2.34,2.34,2.12,2.12,32500,2.12
2013-04-10,2.19,2.47,2.16,2.34,33200,2.34
2013-04-09,2.30,2.39,2.30,2.36,21900,2.36
2013-04-08,2.22,2.46,2.17,2.35,37100,2.35
2013-04-05,2.25,2.39,2.11,2.34,116500,2.34
2013-04-04,2.42,2.45,2.31,2.32,153000,2.32
2013-04-03,2.45,2.50,2.42,2.44,21200,2.44
2013-04-02,2.57,2.57,2.43,2.45,16100,2.45
2013-04-01,2.49,2.62,2.49,2.57,4100,2.57
2013-03-28,2.51,2.58,2.42,2.49,54000,2.49
2013-03-27,2.63,2.68,2.56,2.61,18300,2.61
2013-03-26,2.63,2.68,2.47,2.55,43600,2.55
2013-03-25,2.65,2.71,2.56,2.67,55300,2.67
2013-03-22,2.60,2.65,2.60,2.61,16600,2.61
2013-03-21,2.59,2.60,2.52,2.60,4200,2.60
2013-03-20,2.63,2.64,2.52,2.60,12100,2.60
2013-03-19,2.55,2.65,2.51,2.51,33000,2.51
2013-03-18,2.51,2.52,2.46,2.50,15500,2.50
2013-03-15,2.48,2.50,2.42,2.50,51900,2.50
2013-03-14,2.74,2.74,2.48,2.48,51500,2.48
2013-03-13,2.67,2.72,2.65,2.69,9200,2.69
2013-03-12,2.69,2.75,2.61,2.71,26400,2.71
2013-03-11,2.61,2.73,2.51,2.72,22200,2.72
2013-03-08,2.65,2.70,2.55,2.57,24700,2.57
2013-03-07,2.62,2.75,2.62,2.70,7100,2.70
2013-03-06,2.80,2.80,2.70,2.75,32800,2.75
2013-03-05,2.81,2.84,2.74,2.80,33900,2.80
2013-03-04,2.57,2.91,2.50,2.90,55500,2.90
2013-03-01,2.46,2.72,2.45,2.62,49900,2.62
2013-02-28,2.47,2.55,2.42,2.44,19700,2.44
2013-02-27,2.46,2.48,2.44,2.47,21200,2.47
2013-02-26,2.47,2.51,2.40,2.47,43100,2.47
2013-02-25,2.47,2.50,2.42,2.48,26400,2.48
2013-02-22,2.52,2.63,2.48,2.50,96200,2.50
2013-02-21,2.59,2.63,2.53,2.54,4200,2.54
2013-02-20,2.64,2.65,2.55,2.61,16200,2.61
2013-02-19,2.65,2.67,2.55,2.59,38900,2.59
2013-02-15,2.58,2.68,2.58,2.64,6000,2.64
2013-02-14,2.53,2.60,2.52,2.60,15800,2.60
2013-02-13,2.60,2.66,2.58,2.59,61300,2.59
2013-02-12,2.64,2.64,2.58,2.63,13400,2.63
2013-02-11,2.64,2.79,2.58,2.63,40700,2.63
2013-02-08,2.70,2.84,2.62,2.63,24900,2.63
2013-02-07,2.62,2.74,2.60,2.70,28800,2.70
2013-02-06,2.69,2.70,2.62,2.67,37100,2.67
2013-02-05,2.69,2.71,2.61,2.71,40300,2.71
2013-02-04,2.68,2.79,2.67,2.68,19300,2.68
2013-02-01,2.62,2.74,2.62,2.70,28600,2.70
2013-01-31,2.47,2.66,2.47,2.60,40300,2.60
2013-01-30,2.70,2.71,2.36,2.44,277400,2.44
2013-01-29,2.72,2.86,2.63,2.69,78700,2.69
2013-01-28,2.79,2.87,2.70,2.74,89400,2.74
2013-01-25,2.68,2.80,2.65,2.77,95300,2.77
2013-01-24,2.83,2.89,2.58,2.64,222700,2.64
2013-01-23,2.83,2.95,2.76,2.82,179900,2.82
2013-01-22,2.90,3.00,2.67,2.85,607200,2.85
2013-01-18,3.12,3.21,3.08,3.10,100500,3.10
2013-01-17,3.18,3.18,3.08,3.12,67800,3.12
2013-01-16,3.15,3.20,3.10,3.15,79900,3.15
