Date,Open,High,Low,Close,Volume,Adj Close
2014-05-09,74.54,75.11,74.17,75.06,1456600,74.01
2014-05-08,74.64,75.42,74.50,74.83,2255500,73.78
2014-05-07,74.10,74.87,73.78,74.74,2904100,73.70
2014-05-06,74.46,74.96,73.96,73.97,2769100,72.94
2014-05-05,74.50,74.66,73.76,74.51,4348600,73.47
2014-05-02,75.30,75.33,74.35,74.71,8238200,73.67
2014-05-01,72.85,74.63,72.85,74.39,5121400,73.35
2014-04-30,73.00,73.13,72.27,72.79,2736200,71.77
2014-04-29,73.43,73.48,72.92,72.94,1835000,71.92
2014-04-28,72.60,73.49,72.24,73.29,3048700,72.27
2014-04-25,72.25,72.57,71.90,72.32,1932500,71.31
2014-04-24,72.58,72.86,72.27,72.30,2682100,71.29
2014-04-23,72.52,72.70,72.16,72.24,2404800,71.23
2014-04-22,73.10,73.38,72.34,72.38,3200000,71.37
2014-04-21,72.52,73.29,72.47,73.15,2325400,72.13
2014-04-17,73.52,74.00,72.41,72.81,4258300,71.79
2014-04-16,73.97,74.11,73.13,73.45,3980200,72.42
2014-04-15,72.78,73.48,72.13,73.36,2983700,72.33
2014-04-14,72.39,73.00,72.13,72.76,2196500,71.74
2014-04-11,72.03,72.90,71.96,71.98,2637100,70.97
2014-04-10,73.49,73.50,71.85,72.26,3038700,71.25
2014-04-09,72.56,73.49,72.21,73.45,3589100,72.42
2014-04-08,72.67,72.92,72.19,72.30,2319300,71.29
2014-04-07,72.84,73.67,72.46,72.49,3173400,71.48
2014-04-04,73.61,74.12,72.83,72.93,3328700,71.91
2014-04-03,73.45,73.50,72.80,73.39,3350700,72.36
2014-04-02,73.64,73.64,73.00,73.19,3271400,72.17
2014-04-01,73.87,73.95,72.93,73.67,3554600,72.64
2014-03-31,72.93,73.79,72.59,73.58,3610000,72.55
2014-03-28,73.23,73.75,72.43,72.85,6644600,71.83
2014-03-27,75.68,75.68,72.69,72.80,19991700,71.78
2014-03-26,68.65,70.75,68.39,70.08,8150900,69.10
2014-03-25,67.02,68.42,66.96,68.39,4171200,67.43
2014-03-24,67.75,67.86,66.51,66.86,3542700,65.93
2014-03-21,68.32,68.64,67.42,67.71,4538000,66.76
2014-03-20,67.29,67.86,67.04,67.84,3069800,66.89
2014-03-19,67.41,67.95,67.21,67.42,2660300,66.48
2014-03-18,66.64,67.54,66.57,67.31,3544900,66.37
2014-03-17,66.35,67.14,66.34,66.50,2719700,65.57
2014-03-14,66.81,67.25,66.44,66.49,2707600,65.56
2014-03-13,67.77,67.83,66.90,66.97,1748300,66.03
2014-03-12,67.52,67.90,67.41,67.62,2177400,66.67
2014-03-11,67.67,68.27,67.31,67.75,3069600,66.80
2014-03-10,67.50,67.85,67.01,67.69,3519200,66.74
2014-03-07,67.79,67.90,67.39,67.50,4298100,66.56
2014-03-06,68.00,68.09,67.50,67.57,3226600,66.63
2014-03-05,68.54,68.59,67.68,67.94,4272300,66.99
2014-03-04,69.36,69.45,69.00,69.03,3684700,67.58
2014-03-03,68.91,69.11,68.27,68.89,2839300,67.44
2014-02-28,69.00,69.73,68.77,69.50,3864400,68.04
2014-02-27,69.15,69.49,68.06,68.89,3614000,67.44
2014-02-26,68.63,69.72,68.53,69.21,4075800,67.76
2014-02-25,69.47,69.47,68.58,68.66,2555400,67.22
2014-02-24,69.48,70.15,69.45,69.48,2624000,68.02
2014-02-21,69.39,69.95,69.13,69.29,3905400,67.84
2014-02-20,69.10,69.68,69.09,69.35,2567800,67.90
2014-02-19,69.01,70.03,69.01,69.12,2500400,67.67
2014-02-18,69.45,69.61,69.02,69.29,2353600,67.84
2014-02-14,68.89,69.31,68.83,69.08,2462500,67.63
2014-02-13,68.96,69.35,68.62,69.26,2267100,67.81
2014-02-12,69.66,69.82,69.06,69.12,2515700,67.67
2014-02-11,68.30,69.69,68.16,69.45,2382800,67.99
2014-02-10,67.77,68.39,67.65,68.30,2087600,66.87
2014-02-07,67.29,68.21,67.14,67.90,3076100,66.48
2014-02-06,67.54,67.67,67.04,67.09,3559900,65.68
2014-02-05,66.78,67.60,66.68,67.30,2628700,65.89
2014-02-04,66.65,67.07,66.44,66.95,2715400,65.55
2014-02-03,68.35,68.49,66.44,66.55,4812900,65.15
2014-01-31,68.62,68.78,68.25,68.30,4409500,66.87
2014-01-30,68.76,69.43,68.44,69.27,3773600,67.82
2014-01-29,68.33,69.11,68.01,68.40,3629200,66.97
2014-01-28,68.01,68.73,67.90,68.50,2971600,67.06
2014-01-27,67.76,68.35,67.71,67.88,3808900,66.46
2014-01-24,68.53,68.73,67.31,67.64,4124200,66.22
2014-01-23,70.45,70.74,68.98,69.00,4464100,67.55
2014-01-22,69.62,70.10,69.48,69.74,3375500,68.28
2014-01-21,70.03,70.14,69.22,69.56,3220400,68.10
2014-01-17,69.96,70.12,69.52,69.93,3000500,68.46
2014-01-16,69.37,70.47,69.37,70.06,2596000,68.59
2014-01-15,69.78,69.91,68.96,69.83,2801500,68.37
2014-01-14,70.14,70.33,69.38,69.66,4011900,68.20
2014-01-13,69.80,70.65,69.80,70.10,4022200,68.63
2014-01-10,70.20,70.21,69.72,70.01,3104000,68.54
2014-01-09,70.18,70.29,69.46,70.21,3924800,68.74
2014-01-08,69.78,70.05,69.53,70.02,3214400,68.55
2014-01-07,69.21,69.98,68.92,69.79,3541100,68.33
2014-01-06,69.83,69.94,69.04,69.42,3160800,67.96
2014-01-03,69.39,69.67,69.06,69.30,1785300,67.85
2014-01-02,69.54,69.68,69.04,69.19,2070000,67.74
2013-12-31,69.34,69.81,69.26,69.55,1661500,68.09
2013-12-30,69.42,69.49,69.02,69.25,2276600,67.80
2013-12-27,69.32,69.49,69.04,69.47,1295300,68.01
2013-12-26,69.22,69.50,68.65,69.32,1670700,67.87
2013-12-24,68.76,69.30,68.62,69.06,1162800,67.61
2013-12-23,68.55,69.07,68.00,68.90,3558300,67.45
2013-12-20,67.92,68.74,67.55,68.39,6457700,66.96
2013-12-19,67.22,67.42,66.48,67.06,3432100,65.65
2013-12-18,65.88,67.36,65.82,67.24,4770900,65.83
2013-12-17,66.09,66.15,65.53,65.55,3300900,64.17
2013-12-16,66.53,66.80,66.02,66.14,2869300,64.75
2013-12-13,66.66,66.87,66.11,66.27,2296300,64.88
2013-12-12,66.84,66.98,66.25,66.55,3250300,65.15
2013-12-11,67.51,67.51,66.83,66.97,3315000,65.57
2013-12-10,67.69,67.82,67.21,67.26,2623100,65.85
2013-12-09,67.41,68.13,67.40,67.79,3622400,66.37
2013-12-06,67.22,67.71,67.14,67.39,3460100,65.98
2013-12-05,66.56,67.11,66.30,66.70,4658000,65.30
2013-12-04,66.72,67.11,66.15,66.77,5981800,65.37
2013-12-03,68.16,68.18,67.04,67.35,3815500,65.46
2013-12-02,69.01,69.36,68.16,68.17,3369800,66.25
2013-11-29,68.39,68.49,68.09,68.45,1443500,66.53
2013-11-27,67.26,68.49,67.26,68.22,2374600,66.30
2013-11-26,67.84,68.22,67.20,67.84,3564300,65.93
2013-11-25,67.77,68.09,67.60,67.69,3581500,65.79
2013-11-22,68.56,68.68,67.66,67.78,3593700,65.88
2013-11-21,69.11,69.25,68.20,68.41,3330900,66.49
2013-11-20,69.04,69.31,68.95,69.04,2860300,67.10
2013-11-19,68.61,69.22,68.46,69.12,4776600,67.18
2013-11-18,69.27,69.27,68.58,68.82,4361700,66.89
2013-11-15,67.89,68.84,67.60,68.66,6180200,66.73
2013-11-14,66.69,67.64,66.52,67.60,4437400,65.70
2013-11-13,65.77,66.49,65.75,66.37,3825000,64.51
2013-11-12,65.22,66.00,65.01,65.90,3751100,64.05
2013-11-11,65.20,65.32,64.97,65.22,2766000,63.39
2013-11-08,65.07,65.24,64.78,65.13,4897800,63.30
2013-11-07,65.82,66.12,65.22,65.22,2991900,63.39
2013-11-06,65.26,65.71,65.12,65.38,3131900,63.54
2013-11-05,66.03,66.07,65.12,65.13,2396400,63.30
2013-11-04,65.95,66.10,65.52,66.04,2307800,64.18
2013-11-01,66.02,66.26,65.49,65.75,3661500,63.90
2013-10-31,66.00,66.45,65.70,65.87,3080200,64.02
2013-10-30,66.62,66.69,65.77,65.99,2713000,64.14
2013-10-29,66.84,66.88,66.31,66.62,2428900,64.75
2013-10-28,67.61,67.75,66.35,66.75,5077000,64.87
2013-10-25,65.62,65.73,65.09,65.49,2970300,63.65
2013-10-24,65.76,65.89,64.99,65.44,3880500,63.60
2013-10-23,65.08,65.57,64.94,65.26,4452700,63.43
2013-10-22,65.57,65.86,65.21,65.30,4804700,63.47
2013-10-21,66.02,66.08,65.04,65.25,4566700,63.42
2013-10-18,66.15,66.75,65.36,66.00,5801800,64.15
2013-10-17,66.47,67.38,65.77,67.24,3807100,65.35
2013-10-16,66.36,67.56,66.12,67.56,3848100,65.66
2013-10-15,66.58,66.71,66.25,66.28,3598100,64.42
2013-10-14,65.78,66.54,65.64,66.48,2570600,64.61
2013-10-11,65.56,66.01,65.12,66.00,3057700,64.15
2013-10-10,65.45,65.96,65.41,65.96,3030000,64.11
2013-10-09,64.70,65.32,64.56,65.00,3601600,63.17
2013-10-08,64.68,65.07,64.32,64.41,3694600,62.60
2013-10-07,65.24,65.24,64.42,64.84,2791900,63.02
2013-10-04,64.69,65.03,64.48,65.01,3873700,63.18
2013-10-03,63.98,65.14,63.94,64.46,6066700,62.65
2013-10-02,64.89,64.94,62.80,63.89,8579700,62.09
2013-10-01,65.69,66.00,65.38,65.58,3051400,63.74
2013-09-30,66.21,66.30,65.51,65.69,3709500,63.84
2013-09-27,66.33,66.65,66.01,66.38,3515500,64.51
2013-09-26,66.81,67.06,66.09,66.35,5598200,64.49
2013-09-25,69.48,69.79,66.31,66.70,13247600,64.83
2013-09-24,71.80,72.00,71.12,71.26,2606700,69.26
2013-09-23,71.64,72.00,71.38,71.84,1930800,69.82
2013-09-20,72.20,72.62,71.51,71.58,3358200,69.57
2013-09-19,71.84,72.37,71.10,72.20,2208100,70.17
2013-09-18,71.51,71.95,71.05,71.70,2563600,69.69
2013-09-17,71.84,72.08,71.48,71.58,2001600,69.57
2013-09-16,72.81,72.85,71.85,71.92,2539300,69.90
2013-09-13,71.70,71.95,71.33,71.78,1434200,69.76
2013-09-12,72.19,72.30,71.45,71.63,2429400,69.62
2013-09-11,71.90,72.29,71.57,72.24,2508400,70.21
2013-09-10,71.59,71.81,70.87,71.43,2072000,69.42
2013-09-09,70.21,70.72,70.00,70.70,1762200,68.71
2013-09-06,70.02,70.48,69.53,70.01,2225700,68.04
2013-09-05,69.73,69.97,69.54,69.78,2190900,67.82
2013-09-04,69.40,70.09,69.24,69.70,2939100,67.74
2013-09-03,70.26,70.55,69.07,69.54,2648700,67.11
2013-08-30,70.34,70.39,69.38,69.56,2392700,67.13
2013-08-29,70.49,70.67,70.00,70.16,2028800,67.71
2013-08-28,70.64,70.99,70.32,70.72,2512900,68.25
2013-08-27,71.21,71.31,70.32,70.60,2186800,68.13
2013-08-26,71.94,72.22,71.64,71.74,1988100,69.23
2013-08-23,71.51,72.09,71.44,71.94,1896400,69.43
2013-08-22,71.16,71.47,70.46,71.42,1100200,68.92
2013-08-21,71.33,71.48,70.78,71.03,2011500,68.55
2013-08-20,71.41,71.77,71.14,71.35,1764200,68.86
2013-08-19,71.04,71.67,70.95,71.38,2045300,68.89
2013-08-16,72.00,72.09,71.04,71.12,3253300,68.63
2013-08-15,73.17,73.45,71.75,72.33,3933400,69.80
2013-08-14,73.76,73.95,73.14,73.47,2455700,70.90
2013-08-13,73.62,74.11,73.33,73.83,2020800,71.25
2013-08-12,73.67,73.77,73.27,73.67,2365600,71.10
2013-08-09,73.06,74.00,73.06,73.79,3380000,71.21
2013-08-08,71.80,73.24,71.80,73.16,3477000,70.60
2013-08-07,72.37,72.58,71.50,71.64,3359800,69.14
2013-08-06,71.11,72.14,70.89,72.02,4503200,69.50
2013-08-05,70.30,71.55,70.24,71.11,3949000,68.62
2013-08-02,70.28,71.46,69.31,70.44,9555600,67.98
2013-08-01,73.50,73.67,72.03,72.20,4021300,69.68
2013-07-31,73.56,73.97,72.91,73.04,3584400,70.49
2013-07-30,72.96,73.78,72.92,73.54,2593500,70.97
2013-07-29,73.01,73.10,72.59,72.83,1836800,70.28
2013-07-26,72.83,73.42,72.41,73.02,2841300,70.47
2013-07-25,73.40,73.58,72.63,72.81,2757300,70.27
2013-07-24,74.50,74.55,73.37,73.62,2202100,71.05
2013-07-23,74.46,74.60,74.02,74.29,2659200,71.69
2013-07-22,74.09,74.46,73.68,74.43,2581200,71.83
2013-07-19,73.23,74.05,72.55,74.04,2626700,71.45
2013-07-18,73.66,74.14,72.75,73.10,3026300,70.55
2013-07-17,72.97,73.33,72.63,73.06,2372700,70.51
2013-07-16,72.72,73.19,72.54,72.83,2215300,70.28
2013-07-15,72.64,72.91,72.40,72.68,2001700,70.14
2013-07-12,72.60,72.79,72.28,72.50,2034800,69.97
2013-07-11,71.91,72.76,71.78,72.62,2777500,70.08
2013-07-10,71.53,71.75,71.13,71.32,2314000,68.83
2013-07-09,71.27,71.65,70.92,71.45,1915300,68.95
2013-07-08,70.29,71.25,70.27,71.07,2722700,68.59
2013-07-05,69.77,69.99,69.11,69.88,1684000,67.44
2013-07-03,69.85,69.85,69.04,69.40,1008000,66.97
2013-07-02,70.11,70.44,69.48,69.67,2132800,67.24
2013-07-01,69.64,70.50,69.40,70.06,2053100,67.61
2013-06-28,69.65,70.00,69.23,69.27,3922400,66.85
2013-06-27,70.20,70.40,69.64,69.70,2790500,67.26
2013-06-26,70.02,70.25,69.60,69.74,3776200,67.30
2013-06-25,70.08,70.16,68.95,69.50,2036500,67.07
2013-06-24,69.60,70.00,68.60,69.47,2893300,67.04
2013-06-21,68.78,70.18,68.75,69.96,4862300,67.52
2013-06-20,69.24,69.30,67.91,68.10,3137700,65.72
2013-06-19,70.69,71.04,69.66,69.66,2108100,67.23
2013-06-18,70.73,71.08,70.53,70.88,1853700,68.40
2013-06-17,71.00,71.13,70.21,70.73,2228700,68.26
2013-06-14,70.67,71.32,70.45,70.60,2152400,68.13
2013-06-13,69.65,70.92,68.82,70.75,2973400,68.28
2013-06-12,70.24,70.36,69.63,69.75,2334100,67.31
2013-06-11,69.56,70.16,68.68,69.77,2291100,67.33
2013-06-10,70.08,70.41,69.47,70.24,2498600,67.79
2013-06-07,69.78,70.45,69.51,69.97,2723000,67.52
2013-06-06,68.93,69.52,68.50,69.52,2917000,67.09
2013-06-05,69.20,69.88,68.81,68.83,3448800,66.42
2013-06-04,70.27,70.56,69.23,69.78,2859700,66.87
2013-06-03,70.42,70.47,69.63,70.44,3254900,67.50
2013-05-31,71.79,71.97,70.33,70.33,3332200,67.40
2013-05-30,71.40,72.32,71.29,72.00,1992100,69.00
2013-05-29,71.92,72.03,70.85,71.34,2366600,68.36
2013-05-28,72.09,72.81,71.85,72.31,2691000,69.29
2013-05-24,72.07,72.10,71.33,71.51,2329200,68.53
2013-05-23,71.85,72.29,71.45,72.15,3260100,69.14
2013-05-22,73.19,73.85,71.91,72.30,3420100,69.28
2013-05-21,73.09,73.67,72.62,73.04,3573300,69.99
2013-05-20,73.01,73.95,72.81,72.94,4236700,69.90
2013-05-17,72.14,73.40,71.95,72.94,7483400,69.90
2013-05-16,70.55,71.99,70.36,71.85,5876600,68.85
2013-05-15,70.59,70.89,70.17,70.55,3945600,67.61
2013-05-14,70.60,71.06,70.38,70.49,4463600,67.55
2013-05-13,70.46,70.81,70.40,70.46,3227300,67.52
2013-05-10,71.05,71.09,70.39,70.76,4306800,67.81
2013-05-09,71.09,71.45,70.79,70.99,3203500,68.03
2013-05-08,68.77,71.31,68.74,71.27,7882800,68.30
2013-05-07,67.66,68.89,67.51,68.58,20517900,65.72
2013-05-06,70.21,70.62,70.02,70.31,2580000,67.38
2013-05-03,71.15,71.43,70.18,70.25,3500400,67.32
2013-05-02,69.09,70.79,69.02,70.70,3234000,67.75
2013-05-01,69.55,69.93,68.83,68.91,2139400,66.03
2013-04-30,70.49,70.49,69.13,69.87,2832900,66.95
2013-04-29,69.84,70.72,69.53,70.56,2125900,67.62
2013-04-26,69.07,69.57,68.73,69.49,2420100,66.59
2013-04-25,69.75,69.77,68.89,69.09,4281200,66.21
2013-04-24,69.90,70.16,69.42,69.53,3652800,66.63
2013-04-23,69.45,70.17,69.25,69.85,4398200,66.94
2013-04-22,69.15,69.35,68.96,69.13,2891100,66.25
2013-04-19,69.26,69.53,68.87,69.09,3113000,66.21
2013-04-18,70.54,71.16,68.71,68.90,4277800,66.03
2013-04-17,70.49,70.70,69.89,70.23,3268700,67.30
2013-04-16,70.70,70.95,70.04,70.90,2633900,67.94
2013-04-15,71.67,71.90,70.40,70.42,3494800,67.48
2013-04-12,71.62,71.92,71.09,71.78,2389400,68.79
2013-04-11,71.45,72.07,71.33,71.87,3214300,68.87
2013-04-10,70.83,71.67,70.78,71.43,2825600,68.45
2013-04-09,70.29,71.02,70.03,70.53,2769900,67.59
2013-04-08,70.44,70.68,69.91,70.11,3158400,67.18
2013-04-05,70.36,70.74,70.28,70.50,2291300,67.56
2013-04-04,71.55,72.24,70.97,71.12,4292700,68.15
2013-04-03,72.21,72.33,71.21,71.36,3496000,68.38
2013-04-02,72.61,72.62,72.01,72.21,3026200,69.20
2013-04-01,72.47,72.85,72.12,72.30,2064500,69.28
2013-03-28,72.03,72.74,71.82,72.64,2447600,69.61
2013-03-27,71.00,72.00,70.96,71.88,2414000,68.88
2013-03-26,71.05,71.54,70.84,71.46,2698800,68.48
2013-03-25,70.90,71.34,70.45,70.80,2860600,67.85
2013-03-22,70.23,70.95,69.89,70.94,2745800,67.98
2013-03-21,69.57,70.23,69.47,70.06,2064900,67.14
2013-03-20,69.65,70.04,69.41,69.92,2594400,67.00
2013-03-19,69.12,69.40,68.58,69.37,2356900,66.48
2013-03-18,68.96,69.27,68.66,68.90,1808900,66.03
2013-03-15,69.85,69.95,68.94,69.41,3479000,66.51
2013-03-14,69.78,70.34,69.72,70.06,3217100,67.14
2013-03-13,69.25,69.77,69.14,69.63,2641100,66.72
2013-03-12,69.94,69.99,69.13,69.28,3615500,66.39
2013-03-11,69.66,70.10,69.58,69.97,1520600,67.05
2013-03-08,69.59,70.11,69.32,69.89,2163700,66.97
2013-03-07,69.88,70.09,69.18,69.29,2619000,66.40
2013-03-06,69.44,70.53,69.36,69.97,2939900,67.05
2013-03-05,68.98,70.41,68.69,70.24,3833500,66.88
2013-03-04,68.45,69.18,68.28,69.18,3702100,65.87
2013-03-01,67.41,68.99,67.21,68.90,3437400,65.60
2013-02-28,67.41,67.99,67.31,67.60,3600300,64.36
2013-02-27,66.77,67.42,66.70,67.31,4954600,64.09
2013-02-26,67.43,67.70,66.71,66.77,4267600,63.57
2013-02-25,67.32,67.91,67.09,67.10,4066800,63.89
2013-02-22,66.73,67.39,66.48,67.00,3232100,63.79
2013-02-21,67.37,67.62,66.40,66.42,3220900,63.24
2013-02-20,68.20,68.25,67.53,67.54,2232400,64.31
2013-02-19,68.20,68.38,68.01,68.32,2039000,65.05
2013-02-15,68.30,68.42,68.02,68.17,2275400,64.91
2013-02-14,68.31,69.04,67.90,68.17,3087000,64.91
2013-02-13,68.84,69.03,67.99,68.15,2618900,64.89
2013-02-12,68.79,69.30,68.64,68.68,2868800,65.39
2013-02-11,68.88,69.05,68.51,68.73,1839900,65.44
2013-02-08,68.60,69.25,68.45,69.00,1994400,65.70
2013-02-07,69.09,69.12,68.36,68.53,2662600,65.25
