Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,4.50,4.50,4.29,4.36,219700,4.36
2014-06-12,4.32,4.49,4.25,4.44,390300,4.44
2014-06-11,4.45,4.48,4.17,4.34,535400,4.34
2014-06-10,4.44,4.58,4.32,4.38,778300,4.38
2014-06-09,4.47,4.50,4.30,4.36,321800,4.36
2014-06-06,4.24,4.44,4.21,4.37,492600,4.37
2014-06-05,4.15,4.35,4.10,4.20,378800,4.20
2014-06-04,4.24,4.25,4.05,4.17,447900,4.17
2014-06-03,4.54,4.55,4.13,4.28,531200,4.28
2014-06-02,4.59,4.59,4.11,4.20,530600,4.20
2014-05-30,4.45,4.62,4.30,4.35,546300,4.35
2014-05-29,4.21,4.45,4.16,4.37,677200,4.37
2014-05-28,4.11,4.28,4.10,4.16,308100,4.16
2014-05-27,4.19,4.25,4.05,4.15,342400,4.15
2014-05-23,3.99,4.25,3.93,4.18,435300,4.18
2014-05-22,4.12,4.22,3.88,3.95,741200,3.95
2014-05-21,4.17,4.52,4.09,4.10,1653900,4.10
2014-05-20,3.85,4.42,3.71,4.17,2397100,4.17
2014-05-19,3.57,3.86,3.53,3.83,1546000,3.83
2014-05-16,3.49,3.60,3.40,3.58,1392400,3.58
2014-05-15,3.43,3.49,3.31,3.46,786700,3.46
2014-05-14,3.51,3.77,3.30,3.50,2707800,3.50
2014-05-13,3.43,3.80,3.43,3.76,1897000,3.76
2014-05-12,3.80,4.02,3.58,3.64,2153800,3.64
2014-05-09,3.29,3.76,3.16,3.62,1923300,3.62
2014-05-08,3.81,4.07,3.15,3.24,5760400,3.24
2014-05-07,3.75,4.64,3.38,3.64,15602600,3.64
2014-05-06,6.31,6.34,2.99,3.04,12230000,3.04
2014-05-05,6.27,6.43,6.04,6.32,435400,6.32
2014-05-02,6.69,6.77,6.33,6.33,420400,6.33
2014-05-01,6.60,6.89,6.50,6.69,370200,6.69
2014-04-30,6.79,6.82,6.49,6.61,282600,6.61
2014-04-29,6.70,6.98,6.49,6.84,401900,6.84
2014-04-28,7.25,7.25,6.25,6.68,1007700,6.68
2014-04-25,7.48,7.50,7.17,7.23,335700,7.23
2014-04-24,7.90,7.94,7.51,7.55,312100,7.55
2014-04-23,7.96,8.00,7.75,7.79,310800,7.79
2014-04-22,7.83,8.14,7.80,8.04,307900,8.04
2014-04-21,7.83,8.28,7.60,7.85,414200,7.85
2014-04-17,7.84,8.15,7.73,7.83,364000,7.83
2014-04-16,7.69,8.00,7.52,7.91,389600,7.91
2014-04-15,8.12,8.34,6.90,7.59,1231000,7.59
2014-04-14,8.19,8.43,8.04,8.14,362500,8.14
2014-04-11,8.23,8.40,8.00,8.08,351100,8.08
2014-04-10,8.43,8.72,8.21,8.29,644900,8.29
2014-04-09,8.30,8.67,8.17,8.59,472700,8.59
2014-04-08,8.10,8.36,7.90,8.13,558800,8.13
2014-04-07,8.63,8.68,7.92,8.13,1068200,8.13
2014-04-04,9.34,9.34,8.59,8.73,1269000,8.73
2014-04-03,9.69,9.74,9.22,9.29,713600,9.29
2014-04-02,9.99,10.07,9.33,9.58,911100,9.58
2014-04-01,9.72,10.09,9.55,9.97,589500,9.97
2014-03-31,9.84,10.01,9.62,9.68,572900,9.68
2014-03-28,9.36,9.80,9.29,9.79,1349600,9.79
2014-03-27,9.30,9.80,8.95,9.40,947300,9.40
2014-03-26,9.89,10.26,9.25,9.27,995700,9.27
2014-03-25,9.54,9.88,9.12,9.85,843700,9.85
2014-03-24,10.17,10.17,8.86,9.29,979400,9.29
2014-03-21,10.65,10.65,9.86,10.18,996200,10.18
2014-03-20,10.02,10.50,9.71,10.42,1341000,10.42
2014-03-19,9.79,10.25,9.61,9.77,1035300,9.77
2014-03-18,9.59,10.00,9.31,9.57,1154500,9.57
2014-03-17,9.52,9.72,9.15,9.49,655800,9.49
2014-03-14,9.30,9.62,9.25,9.44,424900,9.44
2014-03-13,9.86,10.20,9.19,9.41,713300,9.41
2014-03-12,9.26,9.93,9.05,9.81,730500,9.81
2014-03-11,10.29,10.45,9.01,9.38,1738000,9.38
2014-03-10,10.33,10.65,9.26,9.47,1969600,9.47
2014-03-07,9.00,11.25,9.00,10.25,3797600,10.25
2014-03-06,9.11,9.49,9.11,9.40,697500,9.40
2014-03-05,9.69,9.74,8.75,9.08,1286100,9.08
2014-03-04,8.86,9.80,8.79,9.55,2337700,9.55
2014-03-03,8.15,8.71,8.12,8.69,637200,8.69
2014-02-28,8.93,9.21,8.52,8.63,719700,8.63
2014-02-27,8.34,8.87,8.25,8.80,508500,8.80
2014-02-26,8.16,8.54,8.10,8.30,357800,8.30
2014-02-25,8.48,8.51,8.18,8.18,573100,8.18
2014-02-24,8.96,9.24,8.44,8.47,836300,8.47
2014-02-21,9.10,9.10,8.66,8.98,827000,8.98
2014-02-20,8.29,9.06,8.25,8.94,904000,8.94
2014-02-19,8.02,8.44,8.00,8.33,597800,8.33
2014-02-18,8.00,8.15,7.84,8.10,603900,8.10
2014-02-14,8.00,8.48,7.87,8.03,2779600,8.03
2014-02-13,8.00,8.30,7.91,7.95,343300,7.95
2014-02-12,8.18,8.18,8.00,8.03,402700,8.03
2014-02-11,8.16,8.31,8.09,8.17,193800,8.17
2014-02-10,8.03,8.35,8.03,8.20,223500,8.20
2014-02-07,8.00,8.30,7.97,8.12,237100,8.12
2014-02-06,7.92,8.28,7.74,8.08,441100,8.08
2014-02-05,7.75,8.00,7.36,7.57,503400,7.57
2014-02-04,8.13,8.28,7.80,7.82,528800,7.82
2014-02-03,8.66,8.69,7.89,8.15,540600,8.15
2014-01-31,8.42,8.93,8.39,8.60,589800,8.60
2014-01-30,8.76,9.00,8.44,8.55,745400,8.55
2014-01-29,8.37,8.80,8.21,8.51,509700,8.51
2014-01-28,7.76,8.23,7.60,8.06,471700,8.06
2014-01-27,8.16,8.27,7.33,7.88,927100,7.88
2014-01-24,8.60,8.63,8.00,8.28,549000,8.28
2014-01-23,9.09,9.10,8.52,8.73,510900,8.73
2014-01-22,8.57,9.20,8.45,9.14,655200,9.14
2014-01-21,8.40,8.57,8.01,8.57,415500,8.57
2014-01-17,8.93,9.30,8.35,8.40,744900,8.40
2014-01-16,8.50,9.04,8.20,8.72,1345800,8.72
2014-01-15,7.63,8.41,7.63,8.30,1108900,8.30
2014-01-14,7.37,7.85,7.15,7.63,654100,7.63
2014-01-13,7.30,7.75,6.85,7.37,765100,7.37
2014-01-10,7.55,7.62,7.26,7.54,337300,7.54
2014-01-09,7.93,8.00,7.36,7.52,550400,7.52
2014-01-08,7.95,8.00,7.83,7.94,376600,7.94
2014-01-07,7.84,8.15,7.64,7.99,922500,7.99
2014-01-06,8.01,8.09,7.50,7.78,569300,7.78
2014-01-03,8.03,8.19,7.85,7.86,382800,7.86
2014-01-02,7.78,8.60,7.78,7.94,787600,7.94
2013-12-31,7.70,7.85,7.60,7.80,312100,7.80
2013-12-30,7.95,8.01,7.53,7.71,580400,7.71
2013-12-27,8.19,8.26,7.52,7.93,655100,7.93
2013-12-26,7.87,8.36,7.87,8.34,894600,8.34
2013-12-24,7.80,8.06,7.75,7.82,796900,7.82
2013-12-23,7.34,7.95,7.05,7.81,1246100,7.81
2013-12-20,7.09,7.50,7.03,7.33,1334800,7.33
2013-12-19,6.70,7.24,6.67,7.11,1413300,7.11
2013-12-18,6.75,6.75,6.40,6.60,365200,6.60
2013-12-17,6.26,6.75,6.11,6.73,710500,6.73
2013-12-16,6.08,6.54,6.08,6.48,646000,6.48
2013-12-13,6.03,6.14,6.00,6.08,176700,6.08
2013-12-12,5.93,6.19,5.86,6.06,313400,6.06
2013-12-11,6.27,6.34,5.85,6.07,786400,6.07
2013-12-10,6.53,6.74,6.23,6.40,438000,6.40
2013-12-09,6.48,6.69,6.43,6.58,360000,6.58
2013-12-06,6.80,6.88,6.40,6.53,333600,6.53
2013-12-05,7.10,7.20,6.56,6.64,641700,6.64
2013-12-04,6.42,7.04,6.35,6.96,682200,6.96
2013-12-03,6.66,6.66,6.16,6.47,612800,6.47
2013-12-02,7.16,7.17,6.60,6.61,560500,6.61
2013-11-29,7.35,7.43,6.86,6.87,499100,6.87
2013-11-27,6.95,7.39,6.75,7.15,1214000,7.15
2013-11-26,6.65,6.87,6.59,6.80,649200,6.80
2013-11-25,6.82,6.95,6.40,6.59,571800,6.59
2013-11-22,6.24,6.74,6.15,6.68,485000,6.68
2013-11-21,6.33,6.51,6.15,6.24,370600,6.24
2013-11-20,6.49,6.63,6.23,6.33,416100,6.33
2013-11-19,7.14,7.15,6.12,6.45,967700,6.45
2013-11-18,6.99,7.64,6.80,7.15,1310600,7.15
2013-11-15,6.87,7.00,6.50,6.92,555100,6.92
2013-11-14,6.51,7.22,6.18,7.03,1956500,7.03
2013-11-13,5.42,7.00,5.36,6.75,5052200,6.75
2013-11-12,5.09,5.20,4.80,4.99,689800,4.99
2013-11-11,5.28,5.40,5.06,5.13,406700,5.13
2013-11-08,5.27,5.40,5.05,5.34,412700,5.34
2013-11-07,4.82,5.52,4.66,5.27,1636000,5.27
2013-11-06,4.30,5.00,4.16,4.84,1140200,4.84
2013-11-05,4.35,4.52,4.01,4.16,828900,4.16
2013-11-04,4.80,4.89,4.25,4.29,1434700,4.29
2013-11-01,4.77,5.26,4.60,4.89,1258100,4.89
2013-10-31,5.13,5.20,4.35,4.77,2884100,4.77
2013-10-30,7.44,7.49,5.19,5.49,3584300,5.49
2013-10-29,6.95,7.50,6.87,7.35,1256800,7.35
2013-10-28,6.50,7.03,6.32,6.85,1265500,6.85
2013-10-25,6.20,6.70,6.20,6.49,1153900,6.49
2013-10-24,5.82,6.12,5.61,6.10,620400,6.10
2013-10-23,5.40,6.05,5.15,5.74,883100,5.74
2013-10-22,5.40,5.64,5.25,5.40,656100,5.40
2013-10-21,5.17,5.41,5.11,5.40,600800,5.40
2013-10-18,5.12,5.15,4.78,5.06,442100,5.06
2013-10-17,4.94,5.25,4.85,5.05,1019600,5.05
2013-10-16,4.43,4.78,4.41,4.70,653900,4.70
2013-10-15,4.15,4.53,4.06,4.42,288100,4.42
2013-10-14,4.15,4.18,4.06,4.12,181600,4.12
2013-10-11,4.20,4.25,4.01,4.15,208600,4.15
2013-10-10,3.96,4.20,3.96,4.20,351100,4.20
2013-10-09,3.95,3.95,3.52,3.88,618300,3.88
2013-10-08,4.20,4.22,3.90,3.91,473700,3.91
2013-10-07,4.29,4.30,4.10,4.22,400000,4.22
2013-10-04,4.03,4.38,4.03,4.28,542200,4.28
2013-10-03,3.90,4.44,3.74,4.03,959900,4.03
2013-10-02,3.47,4.05,3.23,3.86,822500,3.86
2013-10-01,3.24,3.55,3.20,3.42,609800,3.42
2013-09-30,3.11,3.21,2.90,3.18,266000,3.18
2013-09-27,3.20,3.28,3.10,3.14,269000,3.14
2013-09-26,3.16,3.24,3.02,3.20,575700,3.20
2013-09-25,2.71,3.39,2.65,3.09,1015200,3.09
2013-09-24,2.60,2.66,2.55,2.63,65100,2.63
2013-09-23,2.70,2.73,2.53,2.61,176200,2.61
2013-09-20,2.78,2.78,2.60,2.75,240300,2.75
2013-09-19,2.71,2.75,2.54,2.71,184300,2.71
2013-09-18,2.64,2.73,2.60,2.70,192200,2.70
2013-09-17,2.62,2.75,2.45,2.67,271900,2.67
2013-09-16,2.25,2.71,2.25,2.61,849000,2.61
2013-09-13,2.42,2.42,2.26,2.30,146100,2.30
2013-09-12,2.33,2.43,2.23,2.42,315300,2.42
2013-09-11,2.02,2.34,2.02,2.31,469300,2.31
2013-09-10,2.07,2.08,2.03,2.03,105300,2.03
2013-09-09,2.05,2.08,2.02,2.07,170100,2.07
2013-09-06,1.98,2.05,1.93,2.04,522600,2.04
2013-09-05,1.90,2.00,1.86,1.97,81000,1.97
2013-09-04,1.86,1.90,1.85,1.90,116100,1.90
2013-09-03,2.00,2.00,1.85,1.88,154400,1.88
2013-08-30,2.02,2.02,1.95,2.00,115000,2.00
2013-08-29,2.04,2.04,2.01,2.01,67100,2.01
2013-08-28,2.10,2.10,2.00,2.04,99700,2.04
2013-08-27,2.06,2.10,2.01,2.10,162200,2.10
2013-08-26,2.07,2.10,2.04,2.10,108500,2.10
2013-08-23,2.05,2.07,2.04,2.07,76600,2.07
2013-08-22,2.03,2.06,2.02,2.05,82200,2.05
2013-08-21,2.08,2.08,2.00,2.03,184400,2.03
2013-08-20,2.19,2.20,2.06,2.09,241100,2.09
2013-08-19,2.30,2.35,2.20,2.23,162400,2.23
2013-08-16,2.31,2.38,2.28,2.35,145000,2.35
2013-08-15,2.56,2.56,2.11,2.28,524100,2.28
2013-08-14,2.46,2.48,2.30,2.37,131500,2.37
2013-08-13,2.50,2.65,2.45,2.46,224800,2.46
2013-08-12,2.33,2.49,2.33,2.48,130100,2.48
2013-08-09,2.39,2.39,2.30,2.33,70100,2.33
2013-08-08,2.45,2.46,2.32,2.36,106900,2.36
2013-08-07,2.72,2.72,2.36,2.48,290700,2.48
2013-08-06,2.71,2.85,2.60,2.69,319000,2.69
2013-08-05,2.35,2.79,2.35,2.76,568800,2.76
2013-08-02,2.08,2.40,2.00,2.39,381700,2.39
2013-08-01,2.31,2.31,2.01,2.06,153700,2.06
2013-07-31,2.35,2.82,1.86,2.07,374500,2.07
2013-07-30,0.48,0.48,0.48,0.48,54800,1.92
2013-07-29,0.48,0.50,0.48,0.48,50900,1.92
2013-07-26,0.49,0.50,0.48,0.48,38000,1.92
2013-07-25,0.50,0.50,0.48,0.50,55400,2.00
2013-07-24,0.48,0.49,0.47,0.48,83900,1.92
2013-07-23,0.48,0.51,0.48,0.49,89500,1.96
2013-07-22,0.51,0.52,0.48,0.49,149200,1.96
2013-07-19,0.54,0.54,0.51,0.52,168800,2.08
2013-07-18,0.60,0.60,0.53,0.53,185900,2.12
2013-07-17,0.59,0.60,0.58,0.60,67300,2.40
2013-07-16,0.57,0.58,0.54,0.58,117200,2.32
2013-07-15,0.54,0.57,0.54,0.55,65500,2.20
2013-07-12,0.55,0.56,0.55,0.55,37200,2.20
2013-07-11,0.54,0.56,0.53,0.55,44000,2.20
2013-07-10,0.58,0.58,0.53,0.55,49100,2.20
2013-07-09,0.55,0.56,0.54,0.56,50400,2.24
2013-07-08,0.53,0.54,0.52,0.53,18000,2.12
2013-07-05,0.57,0.58,0.52,0.53,76700,2.12
2013-07-03,0.56,0.59,0.55,0.55,34400,2.20
2013-07-02,0.55,0.57,0.55,0.56,32000,2.24
2013-07-01,0.54,0.55,0.54,0.54,13100,2.16
2013-06-28,0.55,0.56,0.53,0.55,15400,2.20
2013-06-27,0.53,0.59,0.53,0.54,41500,2.16
2013-06-26,0.58,0.58,0.53,0.54,61400,2.16
2013-06-25,0.53,0.56,0.52,0.56,47500,2.24
2013-06-24,0.54,0.54,0.52,0.52,58500,2.08
2013-06-21,0.57,0.57,0.54,0.55,107300,2.20
2013-06-20,0.59,0.59,0.56,0.57,48500,2.28
2013-06-19,0.57,0.60,0.56,0.59,57300,2.36
2013-06-18,0.57,0.58,0.56,0.56,31300,2.24
2013-06-17,0.58,0.59,0.57,0.57,55400,2.28
2013-06-14,0.59,0.60,0.58,0.58,104200,2.32
2013-06-13,0.60,0.60,0.59,0.60,44200,2.40
2013-06-12,0.62,0.63,0.59,0.59,62300,2.36
2013-06-11,0.60,0.60,0.58,0.58,62000,2.32
2013-06-10,0.62,0.63,0.59,0.60,90600,2.40
2013-06-07,0.63,0.63,0.60,0.60,49100,2.40
2013-06-06,0.61,0.63,0.61,0.63,55100,2.52
2013-06-05,0.64,0.64,0.61,0.63,108000,2.52
2013-06-04,0.61,0.65,0.59,0.64,174500,2.56
2013-06-03,0.66,0.66,0.58,0.60,337300,2.40
2013-05-31,0.61,0.61,0.59,0.59,131200,2.36
2013-05-30,0.64,0.66,0.61,0.62,155700,2.48
2013-05-29,0.73,0.73,0.61,0.64,463400,2.56
2013-05-28,0.66,0.73,0.65,0.69,704800,2.76
2013-05-24,0.57,0.63,0.56,0.63,244300,2.52
2013-05-23,0.56,0.58,0.56,0.58,53500,2.32
2013-05-22,0.59,0.61,0.58,0.60,67000,2.40
2013-05-21,0.60,0.62,0.58,0.61,81900,2.44
2013-05-20,0.59,0.61,0.58,0.60,78500,2.40
2013-05-17,0.59,0.61,0.59,0.61,32300,2.44
2013-05-16,0.62,0.62,0.58,0.60,55100,2.40
2013-05-15,0.61,0.62,0.60,0.62,76200,2.48
2013-05-14,0.63,0.63,0.60,0.61,74100,2.44
2013-05-13,0.65,0.65,0.62,0.63,36300,2.52
2013-05-10,0.65,0.65,0.60,0.62,69700,2.48
2013-05-09,0.65,0.66,0.64,0.65,82600,2.60
2013-05-08,0.62,0.64,0.62,0.64,54900,2.56
2013-05-07,0.63,0.63,0.58,0.61,53200,2.44
2013-05-06,0.58,0.60,0.57,0.60,90600,2.40
2013-05-03,0.59,0.59,0.56,0.57,22900,2.28
2013-05-02,0.56,0.58,0.55,0.58,49100,2.32
2013-05-01,0.57,0.57,0.56,0.56,18200,2.24
2013-04-30,0.57,0.58,0.57,0.57,43700,2.28
2013-04-29,0.60,0.60,0.57,0.58,24800,2.32
2013-04-26,0.60,0.60,0.58,0.58,36300,2.32
2013-04-25,0.60,0.60,0.58,0.59,29700,2.36
2013-04-24,0.58,0.59,0.57,0.59,49400,2.36
2013-04-23,0.58,0.58,0.54,0.58,54200,2.32
2013-04-22,0.55,0.57,0.55,0.55,68800,2.20
2013-04-19,0.54,0.56,0.53,0.56,86500,2.24
2013-04-18,0.53,0.53,0.51,0.53,60500,2.12
2013-04-17,0.55,0.55,0.50,0.51,83800,2.04
2013-04-16,0.56,0.56,0.51,0.54,90200,2.16
2013-04-15,0.58,0.58,0.56,0.56,39900,2.24
2013-04-12,0.60,0.60,0.58,0.58,26500,2.32
2013-04-11,0.58,0.60,0.56,0.59,103400,2.36
2013-04-10,0.60,0.61,0.58,0.59,80000,2.36
2013-04-09,0.63,0.63,0.60,0.60,57800,2.40
2013-04-08,0.61,0.62,0.61,0.62,34700,2.48
2013-04-05,0.62,0.63,0.62,0.62,20500,2.48
2013-04-04,0.61,0.63,0.61,0.62,22100,2.48
2013-04-03,0.62,0.63,0.62,0.62,34200,2.48
2013-04-02,0.63,0.64,0.62,0.62,42200,2.48
2013-04-01,0.62,0.64,0.62,0.63,79600,2.52
2013-03-28,0.62,0.62,0.61,0.62,22100,2.48
2013-03-27,0.62,0.62,0.61,0.62,30900,2.48
2013-03-26,0.62,0.62,0.61,0.62,28600,2.48
2013-03-25,0.64,0.64,0.62,0.62,60400,2.48
2013-03-22,0.66,0.66,0.62,0.63,77600,2.52
2013-03-21,0.70,0.70,0.64,0.65,90400,2.60
2013-03-20,0.67,0.69,0.65,0.69,115500,2.76
2013-03-19,0.68,0.68,0.64,0.65,35300,2.60
2013-03-18,0.64,0.68,0.64,0.68,89300,2.72
2013-03-15,0.65,0.65,0.63,0.63,85100,2.52
2013-03-14,0.63,0.67,0.61,0.64,89200,2.56
2013-03-13,0.71,0.72,0.60,0.62,293800,2.48
2013-03-12,0.74,0.76,0.68,0.69,152500,2.76
2013-03-11,0.77,0.77,0.74,0.76,54300,3.04
2013-03-08,0.75,0.80,0.75,0.75,149700,3.00
2013-03-07,0.71,0.75,0.71,0.75,64300,3.00
2013-03-06,0.70,0.73,0.69,0.70,98800,2.80
2013-03-05,0.70,0.72,0.68,0.68,58200,2.72
2013-03-04,0.68,0.69,0.68,0.68,19100,2.72
2013-03-01,0.70,0.70,0.69,0.69,11500,2.76
2013-02-28,0.71,0.71,0.69,0.69,21700,2.76
2013-02-27,0.72,0.72,0.69,0.69,18400,2.76
2013-02-26,0.72,0.72,0.69,0.69,9900,2.76
2013-02-25,0.72,0.72,0.69,0.69,31900,2.76
2013-02-22,0.69,0.71,0.68,0.69,42100,2.76
2013-02-21,0.71,0.71,0.68,0.68,42700,2.72
2013-02-20,0.72,0.73,0.69,0.70,31100,2.80
2013-02-19,0.71,0.73,0.70,0.73,30500,2.92
2013-02-15,0.71,0.71,0.69,0.70,24100,2.80
2013-02-14,0.70,0.70,0.69,0.70,30500,2.80
2013-02-13,0.73,0.74,0.69,0.70,81400,2.80
2013-02-12,0.72,0.74,0.72,0.73,23000,2.92
2013-02-11,0.71,0.72,0.70,0.71,9800,2.84
2013-02-08,0.71,0.74,0.70,0.72,25500,2.88
2013-02-07,0.71,0.72,0.70,0.72,23600,2.88
2013-02-06,0.73,0.73,0.71,0.72,35500,2.88
2013-02-05,0.75,0.75,0.73,0.73,22200,2.92
2013-02-04,0.75,0.76,0.72,0.75,36500,3.00
2013-02-01,0.78,0.78,0.74,0.75,37800,3.00
2013-01-31,0.78,0.78,0.74,0.74,65000,2.96
2013-01-30,0.72,0.78,0.72,0.77,207700,3.08
2013-01-29,0.70,0.71,0.68,0.70,28300,2.80
2013-01-28,0.69,0.72,0.69,0.70,35000,2.80
2013-01-25,0.71,0.71,0.69,0.69,18900,2.76
2013-01-24,0.72,0.72,0.69,0.70,34000,2.80
2013-01-23,0.71,0.71,0.69,0.71,29200,2.84
2013-01-22,0.69,0.71,0.69,0.69,54300,2.76
2013-01-18,0.73,0.73,0.70,0.71,23800,2.84
